0 1.58426 1.90507 2.55146 1.55877 1.77509 1.88109 1.65951 0.931113 0.766226 1.50691 3.05461 2.58576 1.54837 1.43803 1.20307 2.4051 1.15294 1.47653 2.45191 1.53749 1.18643 1.3462 1.47546 1.57227 1.63741 1.55001 2.55439 2.40226 1.98938 1.04821 1.97012 1.54843 1.10225 1.43855 1.45256 2.32098 0.518643 1.74599 2.28827 2.25384 
0.016 1.58409 1.90434 2.55139 1.55845 1.77503 1.88073 1.65986 0.930411 0.766136 1.50631 3.05432 2.58508 1.54815 1.43751 1.20434 2.40452 1.15292 1.47622 2.45133 1.53714 1.18618 1.34585 1.47647 1.57183 1.63738 1.54974 2.55547 2.40147 1.98925 1.04813 1.97029 1.54796 1.10222 1.43839 1.45323 2.32031 0.518678 1.74562 2.287 2.25283 
0.032 1.58357 1.90214 2.55114 1.55752 1.77485 1.87965 1.66085 0.928307 0.765867 1.50448 3.0534 2.58304 1.5475 1.43594 1.20811 2.40279 1.15288 1.4753 2.44957 1.53609 1.18541 1.34481 1.47948 1.57053 1.63728 1.54893 2.55868 2.39912 1.98886 1.04788 1.97078 1.54654 1.10211 1.43791 1.45526 2.31831 0.518785 1.7445 2.28322 2.24982 
0.048 1.58271 1.89849 2.55066 1.55597 1.77455 1.87784 1.66229 0.924804 0.765419 1.50145 3.05167 2.57965 1.54641 1.43332 1.21428 2.3999 1.1528 1.47377 2.44662 1.53434 1.18413 1.34308 1.48444 1.56835 1.63711 1.54757 2.56389 2.39519 1.98822 1.04746 1.97156 1.54419 1.10193 1.43711 1.45859 2.31499 0.518963 1.74264 2.27694 2.2448 
0.064 1.58151 1.89336 2.54987 1.55379 1.77412 1.87532 1.66388 0.919909 0.764792 1.49722 3.04889 2.5749 1.54489 1.42965 1.2227 2.39586 1.15269 1.47162 2.44243 1.5319 1.18234 1.34065 1.49127 1.5653 1.63687 1.54567 2.5709 2.3897 1.98732 1.04686 1.97254 1.5409 1.10168 1.43599 1.46318 2.31034 0.51921 1.74003 2.26823 2.2378 
0.08 1.57997 1.88675 2.54863 1.551 1.77357 1.87207 1.66523 0.91363 0.763987 1.4918 3.0447 2.56881 1.54294 1.42492 1.23314 2.39068 1.15255 1.46885 2.43695 1.52875 1.18004 1.33752 1.49984 1.56139 1.63656 1.54321 2.57943 2.38266 1.98616 1.04607 1.97364 1.53668 1.10136 1.43453 1.46895 2.30437 0.519527 1.73667 2.25714 2.22882 
0.096 1.57808 1.87866 2.5468 1.54759 1.7729 1.86811 1.66587 0.905977 0.763003 1.48521 3.0387 2.56138 1.54056 1.41912 1.24534 2.38436 1.15238 1.46547 2.43011 1.52491 1.17724 1.33369 1.51001 1.55662 1.63618 1.54019 2.58913 2.37408 1.98474 1.04507 1.97474 1.53153 1.10097 1.43273 1.47581 2.2971 0.519913 1.73257 2.24377 2.21789 
0.112 1.57586 1.86906 2.54421 1.54356 1.77211 1.86343 1.66528 0.896965 0.761842 1.47746 3.03043 2.55262 1.53775 1.41223 1.25899 2.37691 1.15216 1.46148 2.42183 1.52037 1.17395 1.32916 1.5216 1.55098 1.63573 1.53659 2.59961 2.36397 1.98307 1.04384 1.97569 1.52546 1.1005 1.43058 1.48365 2.28854 0.520365 1.72772 2.22819 2.20503 
0.128 1.57329 1.85796 2.54065 1.53893 1.77119 1.85803 1.66294 0.886609 0.760503 1.46858 3.01941 2.54254 1.53453 1.40426 1.27373 2.36834 1.15191 1.45687 2.41203 1.51514 1.17016 1.32392 1.5344 1.5445 1.63521 1.53239 2.61043 2.35234 1.98115 1.04237 1.97633 1.51849 1.09996 1.42807 1.49234 2.27868 0.520882 1.72213 2.2105 2.19027 
0.144 1.5704 1.84533 2.53592 1.53368 1.77016 1.85193 1.65831 0.874928 0.758988 1.45858 3.00514 2.53116 1.53088 1.39518 1.28919 2.35867 1.15162 1.45164 2.40063 1.50921 1.1659 1.31797 1.5482 1.53716 1.63462 1.52759 2.62112 2.33923 1.97897 1.04062 1.9765 1.51062 1.09934 1.42519 1.50174 2.26756 0.521462 1.7158 2.19079 2.17365 
0.16 1.56716 1.83118 2.52983 1.52783 1.76901 1.84511 1.6509 0.861942 0.757297 1.44751 2.98717 2.51848 1.52683 1.38499 1.30497 2.3479 1.15129 1.44579 2.38752 1.50259 1.16115 1.3113 1.56276 1.52899 1.63396 1.52218 2.63119 2.32465 1.97654 1.03857 1.97602 1.50186 1.09865 1.42192 1.51171 2.25519 0.522104 1.70872 2.16915 2.1552 
0.176 1.5636 1.81549 2.52215 1.52137 1.76773 1.83759 1.64025 0.847673 0.755431 1.43538 2.96508 2.50453 1.52236 1.37369 1.32068 2.33605 1.1509 1.43932 2.37263 1.49528 1.15594 1.30392 1.57782 1.51997 1.63321 1.51612 2.64014 2.30862 1.97385 1.0362 1.97469 1.49223 1.09788 1.41825 1.52206 2.24159 0.522806 1.70091 2.14566 2.13497 
0.192 1.55971 1.79827 2.51268 1.51432 1.76634 1.82937 1.62601 0.832148 0.75339 1.42222 2.93851 2.48932 1.51749 1.36127 1.3359 2.32315 1.15047 1.43224 2.35588 1.48728 1.15027 1.29581 1.59311 1.51013 1.6324 1.50942 2.64751 2.29117 1.97092 1.03348 1.97234 1.48174 1.09703 1.41417 1.53264 2.22677 0.523563 1.69236 2.12039 2.113 
0.208 1.55549 1.7795 2.50124 1.50667 1.76482 1.82046 1.60788 0.815394 0.751177 1.40809 2.90717 2.47288 1.51223 1.34772 1.35026 2.3092 1.14998 1.42454 2.33717 1.4786 1.14415 1.28698 1.60838 1.49948 1.6315 1.50204 2.65281 2.27233 1.96774 1.03037 1.96877 1.47041 1.0961 1.40965 1.54328 2.21076 0.524375 1.68307 2.09342 2.08934 
0.224 1.55095 1.75921 2.48766 1.49844 1.76319 1.81086 1.58569 0.797441 0.748791 1.393 2.87086 2.45521 1.50658 1.33306 1.36337 2.29423 1.14944 1.41622 2.31646 1.46923 1.1376 1.27742 1.62336 1.48801 1.63052 1.49398 2.65561 2.25212 1.96432 1.02686 1.96381 1.45825 1.09509 1.40468 1.55378 2.19358 0.525238 1.67306 2.06479 2.06404 
0.24 1.54609 1.73739 2.47178 1.48963 1.76143 1.80057 1.55936 0.77832 0.746234 1.37701 2.82948 2.43635 1.50054 1.31729 1.37489 2.27825 1.14883 1.4073 2.29369 1.45918 1.13061 1.26714 1.63778 1.47574 1.62947 1.48521 2.65554 2.2306 1.96065 1.02292 1.9573 1.44529 1.09399 1.39925 1.56398 2.17526 0.526149 1.66232 2.03455 2.03717 
