0.299056 -1.89288 3.34172 8.95759 3.3803 6.17596 -6.96416 -1.28064 4.73805 -16.755 
1.23253 0.953001 9.82153 21.7709 15.5703 16.8954 -15.1035 -9.50356 7.25754 -48.8941 
1.23974 6.13371 3.01425 3.05601 9.34778 3.98613 0.865509 -6.43384 -2.42462 -18.7847 
3.88692 3.46848 3.7625 -0.374443 -3.16351 1.3889 -8.43208 5.43846 2.96785 -8.94308 
24.3946 19.3414 22.5257 -11.6082 -7.74725 4.94486 -39.6339 17.1197 7.80207 -37.1389 
13.9247 10.1391 11.2898 -9.78608 1.49834 1.18516 -18.0218 2.72659 0.635614 -13.5914 
0.540488 -0.614906 -0.161717 2.88753 -0.691233 0.482289 -4.15074 3.81585 -0.196064 -1.9115 
34.493 2.50274 -10.039 52.7508 -19.009 21.3964 -105.779 90.8062 -15.8424 -51.2797 
28.1534 16.1277 -7.81471 13.9107 -8.59528 13.9501 -51.1953 36.2904 -15.875 -24.9521 
5.92744 4.62705 0.535511 -10.3666 6.01753 6.10527 -4.48824 -6.47016 4.65212 -6.53988 
24.6629 21.4517 24.5555 -76.8939 52.6411 22.8241 -17.4899 -26.3335 10.9895 -36.4074 
5.25727 7.24226 26.1438 -52.4197 35.8296 3.13344 -1.62405 -3.49982 -4.17515 -15.8877 
