'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_uu_g2','InvCoshPar_uu_g3','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_ud_g2','InvCoshPar_ud_g3','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_us_g2','InvCoshPar_us_g3','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1','InvCoshPar_ss_g2','InvCoshPar_ss_g3'
1.6908,1.11781,0.465588,0.0261858,-0.00651144,0.788796,1.36246,0.497128,0.187103,-0.119689,0.486581,2.71166,0.0537623,-0.236516,0.0145149,1.53192,0.715744,0.723286,0.242717,-0.0882869
1.73211,1.18935,0.492351,-0.0594294,-0.0166127,0.846223,1.12831,0.580098,0.174263,-0.122654,0.438308,2.71975,0.0655796,-0.257865,0.0103162,1.53258,1.01099,0.732192,0.251821,-0.0964773
1.73795,1.03444,0.467664,-0.0627486,-0.0211436,0.863618,1.32422,0.599224,0.174648,-0.135985,0.4284,2.74866,0.052782,-0.273737,0.000165431,1.57176,0.940584,0.743342,0.260144,-0.101836
1.70968,1.04969,0.447056,-0.0698856,-0.015655,0.850096,1.2209,0.586506,0.175302,-0.129677,0.422541,2.76732,0.0623614,-0.289217,0.00161287,1.56254,0.869719,0.715782,0.2584,-0.100413
1.71052,1.16172,0.459251,-0.0828197,-0.0250851,0.891649,1.21726,0.59063,0.160119,-0.134792,0.5306,2.69148,0.100312,-0.288312,0.00461863,1.48167,1.09589,0.658016,0.319694,-0.0865948
1.71052,1.16172,0.459251,-0.0828197,-0.0250851,0.891649,1.21726,0.59063,0.160119,-0.134792,0.5306,2.69148,0.100312,-0.288312,0.00461863,1.48167,1.09589,0.658016,0.319694,-0.0865948
1.73923,1.15394,0.439963,-0.0725322,-0.0254714,0.927262,1.10143,0.659063,0.140892,-0.13055,0.541331,2.4542,0.0463183,-0.276032,0.00719323,1.4897,0.783195,0.725028,0.30342,-0.0945437
1.69715,1.30002,0.453285,-0.0826258,-0.0298783,0.908708,0.955888,0.644034,0.128384,-0.127294,0.573198,2.31255,0.0627367,-0.2867,0.00501129,1.5056,0.587862,0.692664,0.302623,-0.088039
1.64704,1.33084,0.435408,-0.100458,-0.022271,0.904764,0.796395,0.615782,0.152273,-0.124063,0.604104,2.28613,0.0627446,-0.294855,0.0109328,1.52664,0.641817,0.723055,0.326062,-0.0832343
1.63445,1.27539,0.477908,-0.124321,-0.0188842,0.872721,0.560667,0.648323,0.139274,-0.117335,0.523315,1.97512,0.0170044,-0.305351,0.02508,1.49644,0.633362,0.703621,0.326512,-0.0802269
1.65848,1.39031,0.420872,-0.129652,-0.0183756,0.865144,0.608579,0.657876,0.137805,-0.111142,0.545066,2.031,0.0122963,-0.298266,0.027169,1.52317,0.525963,0.70601,0.299812,-0.0843518
1.65848,1.39031,0.420872,-0.129652,-0.0183756,0.865144,0.608579,0.657876,0.137805,-0.111142,0.545066,2.031,0.0122963,-0.298266,0.027169,1.52317,0.525963,0.70601,0.299812,-0.0843518
1.64104,1.21947,0.515512,-0.105279,-0.0136201,0.789772,0.833535,0.696295,0.164042,-0.1127,0.555638,1.86987,0.0475249,-0.299729,0.0272826,1.57489,0.701676,0.783538,0.280042,-0.078148
1.64489,1.27259,0.540901,-0.0800235,-0.00362493,0.813672,0.922316,0.693043,0.182377,-0.118644,0.546736,1.96646,0.00303724,-0.293463,0.0259845,1.56085,0.77685,0.747092,0.284158,-0.0844758
1.68315,1.2263,0.520467,-0.0890615,-0.00664237,0.826772,1.01771,0.629863,0.143144,-0.114223,0.596156,1.88799,0.000508343,-0.267081,0.0148816,1.56549,0.774924,0.728176,0.303161,-0.0786121
1.69086,1.05794,0.499601,-0.107113,-0.00426903,0.846409,1.04605,0.650952,0.138643,-0.113907,0.564114,1.89906,0.0265726,-0.287513,0.0169826,1.58137,0.823314,0.719783,0.288916,-0.0824794
1.70485,1.00322,0.5107,-0.086792,-0.00612026,0.831121,0.941404,0.651821,0.118658,-0.115767,0.532493,1.82977,-0.0203895,-0.270418,0.0288153,1.60945,0.852689,0.729736,0.285361,-0.0823852
1.7022,0.773056,0.476612,-0.0554332,-0.0100748,0.936712,0.593809,0.669852,0.105226,-0.115887,0.472989,1.58275,-0.0729505,-0.260195,0.0216337,1.55024,0.75212,0.623601,0.290705,-0.0892215
1.6892,0.98931,0.470269,-0.0632657,-0.00519902,0.971314,0.655945,0.680656,0.0971893,-0.110653,0.517229,1.51825,-0.147046,-0.258162,0.018761,1.51109,0.947992,0.625585,0.32958,-0.0864302
1.65044,1.08664,0.417903,-0.048114,-0.0144651,0.937031,0.668723,0.681814,0.116072,-0.106603,0.51915,1.44127,-0.173932,-0.261394,0.0182884,1.48468,0.964553,0.645323,0.3032,-0.0801236
1.65284,0.979215,0.417917,-0.0548925,-0.0107737,0.930701,0.794831,0.675059,0.0921248,-0.109674,0.512694,1.35323,-0.149474,-0.281248,0.0245244,1.50735,0.991099,0.662074,0.286653,-0.0792731
1.6627,0.977411,0.437253,-0.0563464,-0.0100992,0.917132,0.617475,0.677199,0.0980707,-0.111051,0.50862,1.27962,-0.128235,-0.287246,0.0248897,1.50705,0.995616,0.666077,0.272508,-0.0826747
1.67846,0.45696,0.465931,-0.0873557,-0.012881,0.880465,0.547872,0.694361,0.0838267,-0.109987,0.46557,1.38265,-0.12336,-0.285863,0.0143615,1.50644,0.987648,0.654782,0.280491,-0.0922125
1.64394,0.488454,0.483838,-0.0590293,-0.0195274,0.920249,0.520412,0.634085,0.125714,-0.104321,0.481964,1.49079,-0.15075,-0.27818,0.0107705,1.53163,1.03003,0.652085,0.288679,-0.0899149
1.66169,0.529366,0.486949,-0.0546752,-0.0282755,0.9433,0.554875,0.610457,0.0984303,-0.112978,0.590418,1.67209,-0.15845,-0.284328,0.0102543,1.46784,0.777459,0.690465,0.251887,-0.0918445
1.66169,0.529366,0.486949,-0.0546752,-0.0282755,0.9433,0.554875,0.610457,0.0984303,-0.112978,0.590418,1.67209,-0.15845,-0.284328,0.0102543,1.46784,0.777459,0.690465,0.251887,-0.0918445
1.6474,0.638786,0.51541,-0.0730488,-0.0260785,0.961121,0.647214,0.597724,0.116867,-0.111799,0.55295,1.36505,-0.127675,-0.312397,0.0147378,1.53535,0.792646,0.735203,0.225371,-0.0970459
