# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0342067 -----------------
#dely    BF    dB     BFVar
0.050 -0.0464 -0.0002  0.0010
0.150 -0.0462 -0.0002  0.0010
0.250 -0.0433 -0.0002  0.0012
0.350 -0.0405 -0.0002  0.0010
0.450 -0.0361 -0.0002  0.0027
0.550 -0.0325 -0.0002  0.0010
0.650 -0.0266 -0.0002  0.0009
0.750 -0.0222 -0.0001  0.0008
0.850 -0.0169 -0.0001  0.0007
0.950 -0.0129 -0.0001  0.0005
1.050 -0.0085 -0.0001  0.0007
1.150 -0.0052 -0.0001  0.0003
1.250 -0.0029 -0.0000  0.0002
1.350 -0.0013 -0.0000  0.0002
1.450 -0.0005 -0.0000  0.0001
1.550 -0.0001 -0.0000  0.0000
1.650 -0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000
