# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.410781 -----------------
#dely    BF    dB     BFVar
0.050  0.6560  0.0004  0.0049
0.150  0.6084  0.0003  0.0038
0.250  0.5472  0.0003  0.0052
0.350  0.4789  0.0003  0.0067
0.450  0.4092  0.0003  0.0059
0.550  0.3426  0.0002  0.0043
0.650  0.2772  0.0002  0.0035
0.750  0.2214  0.0002  0.0037
0.850  0.1707  0.0001  0.0024
0.950  0.1286  0.0001  0.0016
1.050  0.0943  0.0001  0.0018
1.150  0.0661  0.0001  0.0012
1.250  0.0451  0.0001  0.0012
1.350  0.0291  0.0000  0.0013
1.450  0.0175  0.0000  0.0010
1.550  0.0096  0.0000  0.0006
1.650  0.0045  0.0000  0.0004
1.750  0.0012  0.0000  0.0001
