# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0684642 -----------------
#dely    BF    dB     BFVar
0.050  0.1066  0.0013  0.0048
0.150  0.1048  0.0013  0.0058
0.250  0.0927  0.0012  0.0041
0.350  0.0869  0.0012  0.0052
0.450  0.0734  0.0011  0.0048
0.550  0.0602  0.0010  0.0035
0.650  0.0481  0.0009  0.0027
0.750  0.0371  0.0008  0.0024
0.850  0.0298  0.0007  0.0030
0.950  0.0210  0.0006  0.0031
1.050  0.0115  0.0004  0.0017
1.150  0.0071  0.0003  0.0007
1.250  0.0035  0.0002  0.0004
1.350  0.0017  0.0002  0.0004
1.450  0.0002  0.0000  0.0001
1.550  0.0001  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
