# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.232431 -----------------
#dely    BF
0.050  0.3644  0.0027
0.150  0.3360  0.0026
0.250  0.3117  0.0025
0.350  0.2694  0.0023
0.450  0.2144  0.0020
0.550  0.2078  0.0021
0.650  0.1662  0.0018
0.750  0.1315  0.0015
0.850  0.1012  0.0013
0.950  0.0885  0.0013
1.050  0.0490  0.0008
1.150  0.0366  0.0007
1.250  0.0210  0.0005
1.350  0.0148  0.0004
1.450  0.0097  0.0003
1.550  0.0019  0.0001
1.650  0.0003  0.0000
1.750 -0.0002 -0.0000
