# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00586413 -----------------
#dely    BF    dB     BFVar
0.050 -0.0322 -0.0000  0.0023
0.150 -0.0269 -0.0000  0.0019
0.250 -0.0220 -0.0000  0.0031
0.350 -0.0132 -0.0000  0.0018
0.450 -0.0059 -0.0000  0.0029
0.550  0.0013  0.0000  0.0023
0.650  0.0045  0.0000  0.0017
0.750  0.0084  0.0000  0.0021
0.850  0.0085  0.0000  0.0021
0.950  0.0072  0.0000  0.0007
1.050  0.0057  0.0000  0.0011
1.150  0.0040  0.0000  0.0025
1.250  0.0021  0.0000  0.0014
1.350  0.0009  0.0000  0.0008
1.450 -0.0000 -0.0000  0.0004
1.550 -0.0005 -0.0000  0.0003
1.650 -0.0002 -0.0000  0.0002
1.750 -0.0002 -0.0000  0.0006
