# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.0620589 -----------------
#dely    BF
0.050  0.1075  0.0051
0.150  0.0972  0.0046
0.250  0.0789  0.0042
0.350  0.0744  0.0041
0.450  0.0573  0.0034
0.550  0.0501  0.0030
0.650  0.0517  0.0033
0.750  0.0388  0.0029
0.850  0.0206  0.0018
0.950  0.0152  0.0016
1.050  0.0113  0.0014
1.150  0.0094  0.0013
1.250  0.0056  0.0012
1.350  0.0029  0.0006
1.450 -0.0002 -0.0001
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
