# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.1, BARYON_FUDGE=0.666667
# ------- normalization=0.24246 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3444  0.0001  0.0344  0.1376  0.1724
0.150  0.3203  0.0001  0.0322  0.1278  0.1604
0.250  0.2929  0.0001  0.0299  0.1165  0.1465
0.350  0.2642  0.0001  0.0274  0.1039  0.1329
0.450  0.2348  0.0001  0.0249  0.0910  0.1188
0.550  0.2042  0.0001  0.0223  0.0780  0.1039
0.650  0.1743  0.0001  0.0200  0.0654  0.0890
0.750  0.1460  0.0001  0.0175  0.0536  0.0749
0.850  0.1194  0.0000  0.0150  0.0430  0.0614
0.950  0.0952  0.0000  0.0127  0.0338  0.0488
1.050  0.0735  0.0000  0.0107  0.0257  0.0372
1.150  0.0547  0.0000  0.0087  0.0189  0.0271
1.250  0.0394  0.0000  0.0068  0.0135  0.0191
1.350  0.0270  0.0000  0.0051  0.0093  0.0126
1.450  0.0176  0.0000  0.0037  0.0059  0.0079
1.550  0.0103  0.0000  0.0024  0.0034  0.0045
1.650  0.0051  0.0000  0.0014  0.0017  0.0021
1.750  0.0014  0.0000  0.0004  0.0004  0.0005
