# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0563082 -----------------
#dely    BF
0.050 -0.0971 -0.0024
0.150 -0.0951 -0.0024
0.250 -0.0968 -0.0026
0.350 -0.0827 -0.0023
0.450 -0.0625 -0.0019
0.550 -0.0448 -0.0015
0.650 -0.0331 -0.0012
0.750 -0.0232 -0.0010
0.850 -0.0138 -0.0007
0.950 -0.0089 -0.0005
1.050 -0.0050 -0.0003
1.150 -0.0013 -0.0001
1.250  0.0008  0.0001
1.350  0.0005  0.0001
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
