# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.232188 -----------------
#dely    BF
0.050  0.3465  0.0028
0.150  0.3396  0.0028
0.250  0.2897  0.0025
0.350  0.2642  0.0024
0.450  0.2299  0.0022
0.550  0.1974  0.0020
0.650  0.1653  0.0019
0.750  0.1381  0.0017
0.850  0.1128  0.0015
0.950  0.0851  0.0013
1.050  0.0585  0.0010
1.150  0.0373  0.0007
1.250  0.0241  0.0005
1.350  0.0177  0.0005
1.450  0.0086  0.0003
1.550  0.0060  0.0002
1.650  0.0011  0.0001
1.750 -0.0000 -0.0000
