# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.010813 -----------------
#dely    BF
0.050 -0.0267 -0.0002
0.150 -0.0041 -0.0000
0.250 -0.0015 -0.0000
0.350  0.0216  0.0002
0.450  0.0253  0.0003
0.550  0.0268  0.0004
0.650  0.0230  0.0004
0.750  0.0170  0.0004
0.850  0.0112  0.0003
0.950  0.0078  0.0003
1.050  0.0048  0.0002
1.150  0.0015  0.0001
1.250  0.0010  0.0001
1.350  0.0003  0.0000
1.450  0.0000  0.0000
1.550 -0.0000 -0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
