# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=3.89124e-05 -----------------
#dely    BF
0.050 -0.0266 -0.0065
0.150  0.0082  0.0019
0.250  0.0104  0.0020
0.350  0.0097  0.0022
0.450 -0.0125 -0.0031
0.550  0.0068  0.0019
0.650  0.0022  0.0007
0.750  0.0014  0.0005
0.850  0.0103  0.0037
0.950 -0.0054 -0.0054
1.050  0.0023  0.0016
1.150  0.0027  0.0011
1.250  0.0000  0.0000
1.350 -0.0047 -0.0047
1.450 -0.0045 -0.0032
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
