# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0488889 -----------------
#dely    BF
0.050 -0.1044 -0.0001
0.150 -0.0914 -0.0001
0.250 -0.0803 -0.0001
0.350 -0.0674 -0.0001
0.450 -0.0524 -0.0001
0.550 -0.0389 -0.0001
0.650 -0.0291 -0.0000
0.750 -0.0211 -0.0000
0.850 -0.0109 -0.0000
0.950 -0.0067 -0.0000
1.050 -0.0021 -0.0000
1.150  0.0000  0.0000
1.250  0.0030  0.0000
1.350  0.0034  0.0000
1.450  0.0044  0.0000
1.550  0.0033  0.0000
1.650  0.0014  0.0000
1.750  0.0002  0.0000
