# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0740975 -----------------
#dely    BF    dB     BFVar
0.050  0.1879  0.0006  0.0056
0.150  0.1718  0.0006  0.0054
0.250  0.1386  0.0005  0.0041
0.350  0.1039  0.0004  0.0035
0.450  0.0707  0.0003  0.0034
0.550  0.0435  0.0002  0.0029
0.650  0.0222  0.0001  0.0019
0.750  0.0076  0.0000  0.0012
0.850  0.0021  0.0000  0.0007
0.950 -0.0009 -0.0000  0.0007
1.050 -0.0025 -0.0000  0.0010
1.150 -0.0019 -0.0000  0.0004
1.250 -0.0012 -0.0000  0.0002
1.350 -0.0006 -0.0000  0.0001
1.450 -0.0002 -0.0000  0.0001
1.550 -0.0000 -0.0000  0.0000
1.650 -0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000
