# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0614212 -----------------
#dely    BF
0.050 -0.0528 -0.0077
0.150 -0.2412 -0.0420
0.250 -0.0911 -0.0166
0.350  0.0112  0.0022
0.450 -0.0903 -0.0162
0.550 -0.0940 -0.0271
0.650 -0.0558 -0.0112
0.750 -0.1060 -0.0250
0.850  0.0540  0.0156
0.950  0.0073  0.0028
1.050  0.0442  0.0255
1.150  0.0000  0.0000
1.250  0.0000  0.0000
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
