# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-5.6167e-05 -----------------
#dely    BF
0.050 -0.1389 -0.0083
0.150 -0.1481 -0.0091
0.250 -0.1306 -0.0077
0.350 -0.1721 -0.0104
0.450 -0.1016 -0.0067
0.550 -0.1503 -0.0100
0.650 -0.2162 -0.0135
0.750 -0.1129 -0.0081
0.850 -0.0897 -0.0066
0.950 -0.1018 -0.0075
1.050 -0.1128 -0.0084
1.150 -0.1094 -0.0087
1.250 -0.0600 -0.0047
1.350 -0.0268 -0.0022
1.450  0.0018  0.0002
1.550 -0.0031 -0.0003
1.650  0.0230  0.0021
1.750  0.0344  0.0034
1.850  0.0421  0.0041
1.950  0.0411  0.0040
2.050  0.0437  0.0044
2.150  0.0538  0.0057
2.250  0.0236  0.0029
2.350  0.0348  0.0040
2.450  0.0711  0.0085
2.550  0.0641  0.0072
2.650  0.0459  0.0064
2.750  0.0351  0.0053
2.850  0.0795  0.0101
2.950  0.0693  0.0093
3.050  0.0569  0.0079
3.150  0.0299  0.0045
3.250  0.0612  0.0101
3.350  0.0118  0.0021
3.450  0.0441  0.0079
3.550  0.0551  0.0092
3.650  0.0095  0.0016
3.750  0.0232  0.0040
3.850  0.0045  0.0009
3.950  0.0094  0.0017
4.050  0.0294  0.0058
4.150  0.0589  0.0114
4.250  0.0576  0.0102
4.350  0.0075  0.0022
4.450  0.0010  0.0003
4.550  0.0910  0.0200
4.650  0.0328  0.0088
4.750  0.0237  0.0056
4.850  0.0519  0.0135
4.950  0.0090  0.0032
5.050  0.0072  0.0024
5.150  0.0011  0.0005
5.250  0.0361  0.0121
5.350  0.0086  0.0039
5.450  0.0079  0.0028
5.550 -0.0025 -0.0010
5.650  0.0548  0.0167
5.750  0.0107  0.0038
5.850  0.0021  0.0008
5.950  0.0147  0.0044
6.050  0.0034  0.0017
6.150  0.0021  0.0015
6.250  0.0093  0.0035
6.350  0.0347  0.0132
6.450  0.0120  0.0049
6.550  0.0151  0.0062
6.650  0.0114  0.0051
6.750  0.0061  0.0025
6.850  0.0056  0.0028
6.950  0.0070  0.0035
7.050  0.0032  0.0014
7.150  0.0015  0.0006
7.250  0.0175  0.0066
7.350  0.0015  0.0015
7.450 -0.0019 -0.0013
7.550 -0.0011 -0.0008
7.650  0.0410  0.0239
7.750  0.0404  0.0235
7.850 -0.0028 -0.0020
7.950  0.0156  0.0156
8.050 -0.0012 -0.0012
8.150  0.0255  0.0115
8.250  0.0271  0.0271
8.350  0.0418  0.0418
8.450 -0.0026 -0.0026
8.550 -0.0124 -0.0062
8.650  0.0000  0.0000
8.750 -0.0013 -0.0013
8.850 -0.0039 -0.0039
8.950 -0.0100 -0.0071
9.050  0.0000  0.0000
9.150  0.0000  0.0000
9.250  0.0000  0.0000
9.350 -0.0055 -0.0055
9.450  0.0000  0.0000
9.550 -0.0115 -0.0115
9.650  0.0000  0.0000
9.750  0.0000  0.0000
9.850  0.0000  0.0000
9.950  0.0613  0.0467
10.050  0.0000  0.0000
10.150  0.0000  0.0000
10.250 -0.0193 -0.0137
10.350  0.0000  0.0000
10.450  0.0000  0.0000
10.550  0.0000  0.0000
10.650  0.0000  0.0000
10.750  0.0000  0.0000
10.850 -0.0149 -0.0149
10.950  0.0879  0.0688
11.050  0.0000  0.0000
11.150 -0.0274 -0.0274
11.250  0.0581  0.0431
11.350  0.0000  0.0000
11.450  0.0000  0.0000
11.550  0.0000  0.0000
11.650 -0.0216 -0.0216
11.750  0.0000  0.0000
11.850  0.0000  0.0000
11.950  0.0000  0.0000
