# ICODE=2212, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.079265 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.1175  0.0005  0.1594 -0.0419  0.0000
0.150  0.1136  0.0005  0.1522 -0.0386  0.0000
0.250  0.1056  0.0005  0.1390 -0.0333  0.0000
0.350  0.0939  0.0005  0.1203 -0.0264  0.0000
0.450  0.0848  0.0005  0.1056 -0.0208  0.0000
0.550  0.0717  0.0005  0.0870 -0.0153  0.0000
0.650  0.0610  0.0005  0.0716 -0.0107  0.0000
0.750  0.0477  0.0005  0.0544 -0.0066  0.0000
0.850  0.0384  0.0005  0.0422 -0.0038  0.0000
0.950  0.0264  0.0004  0.0285 -0.0021  0.0000
1.050  0.0162  0.0003  0.0172 -0.0011  0.0000
1.150  0.0094  0.0002  0.0098 -0.0004  0.0000
1.250  0.0047  0.0002  0.0048 -0.0001  0.0000
1.350  0.0015  0.0001  0.0015 -0.0000  0.0000
1.450  0.0003  0.0000  0.0003 -0.0000  0.0000
1.550  0.0000  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
