# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0353515 -----------------
#dely    BF    dB     BFVar
0.050 -0.0037 -0.0000  0.0023
0.150 -0.0005 -0.0000  0.0015
0.250  0.0096  0.0000  0.0013
0.350  0.0227  0.0001  0.0020
0.450  0.0331  0.0002  0.0013
0.550  0.0417  0.0002  0.0015
0.650  0.0478  0.0003  0.0015
0.750  0.0471  0.0003  0.0025
0.850  0.0438  0.0003  0.0027
0.950  0.0377  0.0003  0.0010
1.050  0.0298  0.0003  0.0017
1.150  0.0209  0.0002  0.0007
1.250  0.0137  0.0002  0.0011
1.350  0.0069  0.0001  0.0006
1.450  0.0025  0.0001  0.0004
1.550  0.0006  0.0000  0.0002
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
