'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0'
0.224877,0.526864,0.964633,0.350116,0.660481,0.512171,0.0672572,0.96555
0.229925,0.528709,0.96263,0.35462,0.660139,0.506195,0.0662211,0.968096
0.226289,0.527069,0.966927,0.352106,0.657663,0.506276,0.069686,0.967553
0.218395,0.524114,0.961401,0.355236,0.650593,0.518447,0.0717971,0.970952
0.223502,0.521653,0.967605,0.350459,0.64818,0.512423,0.0669776,0.968029
0.222672,0.517455,0.963049,0.3573,0.653409,0.514203,0.0697619,0.960207
0.221935,0.524597,0.964794,0.352386,0.653942,0.510498,0.071467,0.959664
0.224034,0.524539,0.972282,0.351096,0.651564,0.506738,0.0675733,0.966478
0.220833,0.519653,0.976149,0.344621,0.654299,0.515839,0.0715643,0.962757
0.21694,0.517597,0.973631,0.347188,0.651957,0.511285,0.0697527,0.961096
0.219091,0.517394,0.973596,0.347207,0.642509,0.513527,0.0666541,0.965443
0.215734,0.519881,0.968895,0.35137,0.642211,0.50889,0.0654916,0.969336
0.217116,0.517905,0.96523,0.356019,0.645909,0.520077,0.0651234,0.974751
0.219168,0.51767,0.967255,0.353185,0.645479,0.520652,0.0632556,0.971782
0.219168,0.51767,0.967255,0.353185,0.645479,0.520652,0.0632556,0.971782
0.223406,0.52336,0.963198,0.345094,0.648664,0.520521,0.0687021,0.967316
0.224645,0.524978,0.964024,0.350887,0.647493,0.521277,0.0668191,0.961437
0.224,0.524633,0.971361,0.350812,0.650792,0.529056,0.0587858,0.961864
0.227967,0.529064,0.966453,0.354185,0.645708,0.523371,0.0567005,0.961019
0.220857,0.524373,0.965175,0.349208,0.651069,0.533413,0.0673303,0.963928
0.220848,0.522336,0.9588,0.348227,0.651898,0.532225,0.0700254,0.963297
0.220122,0.522664,0.957752,0.35265,0.650606,0.533532,0.0627643,0.956326
0.22607,0.523786,0.954912,0.344255,0.643961,0.534161,0.0702201,0.962147
0.230616,0.530347,0.952175,0.345802,0.652799,0.529335,0.0640058,0.971813
0.220389,0.522955,0.949671,0.346681,0.649204,0.540698,0.0698713,0.966102
0.21698,0.517097,0.946112,0.342101,0.646624,0.539506,0.0658974,0.969545
0.21698,0.517097,0.946112,0.342101,0.646624,0.539506,0.0658974,0.969545
0.213121,0.516182,0.945282,0.342958,0.644907,0.534924,0.0672695,0.970293
0.217601,0.520019,0.94753,0.344491,0.649186,0.535623,0.0677638,0.972334
0.217601,0.520019,0.94753,0.344491,0.649186,0.535623,0.0677638,0.972334
0.218025,0.515732,0.945424,0.336779,0.654449,0.538071,0.0745921,0.97064
0.216491,0.515188,0.946913,0.342064,0.653523,0.534629,0.072939,0.968681
0.216491,0.515188,0.946913,0.342064,0.653523,0.534629,0.072939,0.968681
0.217914,0.516789,0.943541,0.337711,0.655825,0.536782,0.0744729,0.967716
0.222045,0.519148,0.950841,0.335764,0.663351,0.531834,0.0736712,0.969677
0.218845,0.519347,0.957337,0.341238,0.66612,0.527978,0.0725222,0.966686
0.212821,0.514552,0.948983,0.346128,0.664891,0.529177,0.0666956,0.96531
0.214645,0.512376,0.940896,0.348442,0.661764,0.530767,0.0687187,0.971507
0.214642,0.512769,0.940175,0.348726,0.662136,0.533067,0.0702388,0.971726
