'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0'
0.527267,0.0537277,1.9328,-0.299768,1.35491,0.0243411,0.227789,0.9311
0.536858,0.057417,1.929,-0.29076,1.35426,0.0123907,0.22582,0.936192
0.529949,0.0541377,1.93716,-0.295788,1.34956,0.0125522,0.232403,0.935106
0.51495,0.0482277,1.92666,-0.289528,1.33613,0.0368947,0.236414,0.941904
0.524655,0.0433069,1.93845,-0.299081,1.33154,0.0248455,0.227257,0.936057
0.523076,0.0349093,1.92979,-0.2854,1.34148,0.0284059,0.232548,0.920414
0.521677,0.0491935,1.93311,-0.295227,1.34249,0.0209955,0.235787,0.919328
0.525665,0.0490787,1.94734,-0.297808,1.33797,0.0134769,0.228389,0.932956
0.519583,0.0393065,1.95468,-0.310758,1.34317,0.0316777,0.235972,0.925514
0.512186,0.0351934,1.9499,-0.305625,1.33872,0.0225695,0.23253,0.922192
0.516273,0.0347877,1.94983,-0.305587,1.32077,0.0270543,0.226643,0.930886
0.509895,0.0397624,1.9409,-0.297259,1.3202,0.0177806,0.224434,0.938671
0.512521,0.035809,1.93394,-0.287961,1.32723,0.0401538,0.223734,0.949502
0.516419,0.0353397,1.93778,-0.29363,1.32641,0.041305,0.220186,0.943565
0.516419,0.0353397,1.93778,-0.29363,1.32641,0.041305,0.220186,0.943565
0.524471,0.0467192,1.93008,-0.309811,1.33246,0.0410423,0.230534,0.934632
0.526826,0.0499556,1.93164,-0.298226,1.33024,0.0425544,0.226956,0.922873
0.5256,0.0492651,1.94559,-0.298376,1.3365,0.0581112,0.211693,0.923728
0.533137,0.058128,1.93626,-0.291629,1.32685,0.0467421,0.207731,0.922038
0.519628,0.0487463,1.93383,-0.301583,1.33703,0.0668268,0.227928,0.927856
0.519612,0.0446725,1.92172,-0.303546,1.33861,0.0644501,0.233048,0.926593
0.518233,0.0453288,1.91973,-0.2947,1.33615,0.0670632,0.219252,0.912652
0.529534,0.0475715,1.91433,-0.31149,1.32353,0.0683227,0.233418,0.924293
0.538171,0.060695,1.90913,-0.308396,1.34032,0.05867,0.221611,0.943626
0.518739,0.0459095,1.90437,-0.306638,1.33349,0.0813953,0.232756,0.932205
0.512263,0.0341935,1.89761,-0.315797,1.32859,0.0790127,0.225205,0.939091
0.512263,0.0341935,1.89761,-0.315797,1.32859,0.0790127,0.225205,0.939091
0.50493,0.0323637,1.89603,-0.314085,1.32532,0.0698477,0.227812,0.940586
0.513441,0.040039,1.90031,-0.311018,1.33345,0.0712457,0.228751,0.944668
0.513441,0.040039,1.90031,-0.311018,1.33345,0.0712457,0.228751,0.944668
0.514247,0.0314645,1.89631,-0.326442,1.34345,0.0761415,0.241725,0.941279
0.511333,0.0303763,1.89913,-0.315873,1.34169,0.0692573,0.238584,0.937361
0.511333,0.0303763,1.89913,-0.315873,1.34169,0.0692573,0.238584,0.937361
0.514037,0.033577,1.89273,-0.324578,1.34607,0.073564,0.241498,0.935432
0.521885,0.0382967,1.9066,-0.328472,1.36037,0.0636674,0.239975,0.939354
0.515805,0.0386946,1.91894,-0.317524,1.36563,0.0559552,0.237792,0.933372
0.504359,0.0291046,1.90307,-0.307744,1.36329,0.0583544,0.226722,0.93062
0.507826,0.0247524,1.8877,-0.303115,1.35735,0.0615344,0.230565,0.943013
0.50782,0.0255388,1.88633,-0.302547,1.35806,0.0661348,0.233454,0.943452
0.507068,0.0273471,1.88003,-0.299155,1.37279,0.0726091,0.236308,0.935831
0.507068,0.0273471,1.88003,-0.299155,1.37279,0.0726091,0.236308,0.935831
0.508242,0.0274604,1.88892,-0.284809,1.36684,0.0614679,0.243379,0.937843
0.497472,0.0256725,1.8841,-0.290726,1.36012,0.0573964,0.236078,0.935171
0.509013,0.0377758,1.86931,-0.292921,1.37648,0.0784971,0.241187,0.939218
0.509013,0.0377758,1.86931,-0.292921,1.37648,0.0784971,0.241187,0.939218
0.517716,0.0428328,1.85206,-0.304203,1.37707,0.0876982,0.240365,0.928712
0.506014,0.0289587,1.86942,-0.311029,1.3842,0.0840176,0.250944,0.932589
0.517762,0.0364307,1.86689,-0.326144,1.38586,0.0821356,0.243895,0.922438
0.522613,0.043929,1.86472,-0.322859,1.38009,0.0816865,0.243836,0.922317
