# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.059499 -----------------
#dely    BF
0.050 -0.1271 -0.0008
0.150 -0.1138 -0.0007
0.250 -0.0956 -0.0006
0.350 -0.0761 -0.0006
0.450 -0.0593 -0.0005
0.550 -0.0425 -0.0004
0.650 -0.0289 -0.0003
0.750 -0.0188 -0.0002
0.850 -0.0126 -0.0002
0.950 -0.0096 -0.0001
1.050 -0.0054 -0.0001
1.150 -0.0028 -0.0001
1.250 -0.0018 -0.0000
1.350 -0.0005 -0.0000
1.450 -0.0002 -0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
