# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=4.16532e-05 -----------------
#dely    BF
0.050 -0.0478 -0.0026
0.150 -0.0573 -0.0030
0.250 -0.0655 -0.0038
0.350  0.0465  0.0027
0.450  0.0307  0.0020
0.550  0.0613  0.0043
0.650  0.0717  0.0053
0.750  0.0278  0.0024
0.850  0.0173  0.0016
0.950 -0.0224 -0.0023
1.050 -0.0091 -0.0010
1.150 -0.0400 -0.0065
1.250  0.0029  0.0006
1.350 -0.0113 -0.0034
1.450 -0.0043 -0.0016
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
