0.025  0.989198  1.000000, ratio=0.989198
0.075  0.991689  1.000000, ratio=0.991689
0.125  0.997463  1.000000, ratio=0.997463
0.175  1.006409  1.000000, ratio=1.00641
0.225  1.015800  1.000000, ratio=1.0158
0.275  1.020503  1.000000, ratio=1.0205
0.325  1.015640  1.000000, ratio=1.01564
0.375  1.000267  1.000000, ratio=1.00027
0.425  0.979523  1.000000, ratio=0.979523
0.475  0.963426  1.000000, ratio=0.963426
0.525  0.962431  1.000000, ratio=0.962431
0.575  0.981853  1.000000, ratio=0.981853
0.625  1.017951  1.000000, ratio=1.01795
0.675  1.057664  1.000000, ratio=1.05766
0.725  1.082197  1.000000, ratio=1.0822
0.775  1.072917  1.000000, ratio=1.07292
0.825  1.017212  1.000000, ratio=1.01721
0.875  0.912245  1.000000, ratio=0.912245
0.925  0.765565  1.000000, ratio=0.765565
0.975  0.592812  1.000000, ratio=0.592812
1.025  0.413611  0.000000, ratio=inf
1.075  0.247089  0.000000, ratio=inf
1.125  0.108249  0.000000, ratio=inf
1.175  0.005887  0.000000, ratio=inf
1.225 -0.057798  0.000000, ratio=-inf
1.275 -0.086249  0.000000, ratio=-inf
1.325 -0.086760  0.000000, ratio=-inf
1.375 -0.068454  0.000000, ratio=-inf
1.425 -0.040468  0.000000, ratio=-inf
1.475 -0.010620  0.000000, ratio=-inf
1.525  0.015348  0.000000, ratio=inf
1.575  0.033989  0.000000, ratio=inf
1.625  0.043970  0.000000, ratio=inf
1.675  0.045631  0.000000, ratio=inf
1.725  0.040446  0.000000, ratio=inf
1.775  0.030486  0.000000, ratio=inf
1.825  0.017967  0.000000, ratio=inf
1.875  0.004920  0.000000, ratio=inf
1.925 -0.007023  0.000000, ratio=-inf
1.975 -0.016718  0.000000, ratio=-inf
2.025 -0.023519  0.000000, ratio=-inf
2.075 -0.027223  0.000000, ratio=-inf
2.125 -0.027980  0.000000, ratio=-inf
2.175 -0.026192  0.000000, ratio=-inf
2.225 -0.022413  0.000000, ratio=-inf
2.275 -0.017258  0.000000, ratio=-inf
2.325 -0.011335  0.000000, ratio=-inf
2.375 -0.005197  0.000000, ratio=-inf
2.425  0.000694  0.000000, ratio=inf
2.475  0.005980  0.000000, ratio=inf
2.525  0.010412  0.000000, ratio=inf
2.575  0.013842  0.000000, ratio=inf
2.625  0.016211  0.000000, ratio=inf
2.675  0.017535  0.000000, ratio=inf
2.725  0.017885  0.000000, ratio=inf
2.775  0.017372  0.000000, ratio=inf
2.825  0.016135  0.000000, ratio=inf
2.875  0.014322  0.000000, ratio=inf
2.925  0.012085  0.000000, ratio=inf
2.975  0.009568  0.000000, ratio=inf
3.025  0.006903  0.000000, ratio=inf
3.075  0.004209  0.000000, ratio=inf
3.125  0.001582  0.000000, ratio=inf
3.175 -0.000896  0.000000, ratio=-inf
3.225 -0.003166  0.000000, ratio=-inf
3.275 -0.005181  0.000000, ratio=-inf
3.325 -0.006914  0.000000, ratio=-inf
3.375 -0.008350  0.000000, ratio=-inf
3.425 -0.009484  0.000000, ratio=-inf
3.475 -0.010324  0.000000, ratio=-inf
3.525 -0.010883  0.000000, ratio=-inf
3.575 -0.011179  0.000000, ratio=-inf
3.625 -0.011236  0.000000, ratio=-inf
3.675 -0.011079  0.000000, ratio=-inf
3.725 -0.010736  0.000000, ratio=-inf
3.775 -0.010234  0.000000, ratio=-inf
3.825 -0.009599  0.000000, ratio=-inf
3.875 -0.008858  0.000000, ratio=-inf
3.925 -0.008035  0.000000, ratio=-inf
3.975 -0.007151  0.000000, ratio=-inf
4.025 -0.006228  0.000000, ratio=-inf
4.075 -0.005283  0.000000, ratio=-inf
4.125 -0.004333  0.000000, ratio=-inf
4.175 -0.003390  0.000000, ratio=-inf
4.225 -0.002467  0.000000, ratio=-inf
4.275 -0.001573  0.000000, ratio=-inf
4.325 -0.000716  0.000000, ratio=-inf
4.375  0.000098  0.000000, ratio=inf
4.425  0.000864  0.000000, ratio=inf
4.475  0.001579  0.000000, ratio=inf
4.525  0.002240  0.000000, ratio=inf
4.575  0.002847  0.000000, ratio=inf
4.625  0.003399  0.000000, ratio=inf
4.675  0.003897  0.000000, ratio=inf
4.725  0.004341  0.000000, ratio=inf
4.775  0.004734  0.000000, ratio=inf
4.825  0.005077  0.000000, ratio=inf
4.875  0.005373  0.000000, ratio=inf
4.925  0.005624  0.000000, ratio=inf
4.975  0.005832  0.000000, ratio=inf
5.025  0.006000  0.000000, ratio=inf
5.075  0.006132  0.000000, ratio=inf
5.125  0.006230  0.000000, ratio=inf
5.175  0.006296  0.000000, ratio=inf
5.225  0.006334  0.000000, ratio=inf
5.275  0.006346  0.000000, ratio=inf
