# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0989884 -----------------
#dely    BF    dB     BFVar
0.050 -0.1519 -0.0001  0.0023
0.150 -0.1388 -0.0001  0.0034
0.250 -0.1225 -0.0001  0.0032
0.350 -0.1034 -0.0001  0.0032
0.450 -0.0854 -0.0001  0.0033
0.550 -0.0706 -0.0001  0.0033
0.650 -0.0578 -0.0000  0.0023
0.750 -0.0499 -0.0000  0.0037
0.850 -0.0428 -0.0000  0.0020
0.950 -0.0368 -0.0000  0.0016
1.050 -0.0332 -0.0000  0.0015
1.150 -0.0288 -0.0000  0.0011
1.250 -0.0236 -0.0000  0.0009
1.350 -0.0191 -0.0000  0.0011
1.450 -0.0136 -0.0000  0.0005
1.550 -0.0082 -0.0000  0.0003
1.650 -0.0033 -0.0000  0.0003
1.750 -0.0003 -0.0000  0.0000
