# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0533059 -----------------
#dely    BF    dB     BFVar
0.050 -0.0654 -0.0002  0.0026
0.150 -0.0660 -0.0002  0.0042
0.250 -0.0629 -0.0002  0.0036
0.350 -0.0620 -0.0002  0.0016
0.450 -0.0576 -0.0002  0.0020
0.550 -0.0509 -0.0002  0.0019
0.650 -0.0438 -0.0002  0.0035
0.750 -0.0363 -0.0002  0.0015
0.850 -0.0292 -0.0002  0.0015
0.950 -0.0225 -0.0002  0.0006
1.050 -0.0153 -0.0001  0.0007
1.150 -0.0106 -0.0001  0.0007
1.250 -0.0060 -0.0001  0.0004
1.350 -0.0031 -0.0001  0.0004
1.450 -0.0011 -0.0000  0.0004
1.550 -0.0002 -0.0000  0.0001
1.650 -0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000
