# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0207541 -----------------
#dely    BF    dB     BFVar
0.050 -0.0083 -0.0000  0.0036
0.150 -0.0026 -0.0000  0.0025
0.250  0.0077  0.0000  0.0023
0.350  0.0189  0.0001  0.0017
0.450  0.0245  0.0001  0.0019
0.550  0.0299  0.0001  0.0022
0.650  0.0299  0.0002  0.0014
0.750  0.0286  0.0002  0.0012
0.850  0.0242  0.0002  0.0010
0.950  0.0195  0.0002  0.0006
1.050  0.0149  0.0002  0.0010
1.150  0.0100  0.0001  0.0006
1.250  0.0059  0.0001  0.0003
1.350  0.0029  0.0001  0.0001
1.450  0.0011  0.0000  0.0001
1.550  0.0003  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
