# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0540291 -----------------
#dely    BF    dB     BFVar
0.050  0.0688  0.0002  0.0028
0.150  0.0659  0.0002  0.0031
0.250  0.0637  0.0002  0.0030
0.350  0.0613  0.0002  0.0018
0.450  0.0558  0.0002  0.0026
0.550  0.0509  0.0002  0.0038
0.650  0.0446  0.0002  0.0012
0.750  0.0366  0.0002  0.0017
0.850  0.0304  0.0002  0.0009
0.950  0.0233  0.0002  0.0008
1.050  0.0172  0.0001  0.0007
1.150  0.0112  0.0001  0.0007
1.250  0.0063  0.0001  0.0004
1.350  0.0031  0.0001  0.0003
1.450  0.0011  0.0000  0.0002
1.550  0.0002  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
