! kt  lambda  Rout  Routlab Rside   Rlong
  50.0 0.3645  8.425  7.932  7.538 15.579  1.052
 100.0 0.3989  9.664  7.856  7.164 13.167  1.097
 150.0 0.4396 11.238  7.655  6.684 11.005  1.145
 200.0 0.4735 12.795  7.322  6.195  9.398  1.182
 250.0 0.5039 14.001  6.825  5.785  8.088  1.180
 300.0 0.5346 15.271  6.442  5.413  7.101  1.190
 350.0 0.5597 16.474  6.102  5.085  6.265  1.200
 400.0 0.5784 17.609  5.801  4.830  5.634  1.201
 450.0 0.5962 18.639  5.522  4.612  5.094  1.197
 500.0 0.6149 19.993  5.375  4.371  4.666  1.230
