'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.73292,1.91276,1.51184,1.17193
0.71768,1.93844,1.50995,1.18919
0.771246,1.91984,1.42964,1.25657
0.746393,1.86944,1.4631,1.24577
0.746393,1.86944,1.4631,1.24577
0.74889,1.86885,1.42911,1.2596
0.735044,1.80045,1.47667,1.25968
0.728325,1.84125,1.4681,1.28587
0.71929,1.81026,1.44709,1.30838
0.71929,1.81026,1.44709,1.30838
0.726029,1.70959,1.43475,1.25692
0.719582,1.70791,1.47065,1.16951
0.705035,1.72564,1.4613,1.16759
0.714727,1.76791,1.4953,1.18945
0.72521,1.77929,1.50454,1.21382
0.740714,1.79161,1.51433,1.20128
0.757049,1.79756,1.47038,1.17527
0.761541,1.74781,1.47672,1.15084
0.714521,1.76799,1.52875,1.10335
0.738647,1.73837,1.56354,1.06826
0.735966,1.70302,1.52308,1.072
0.69718,1.7228,1.53696,1.10014
0.68727,1.72008,1.56371,1.07764
0.704195,1.71583,1.53102,1.11796
0.714795,1.71477,1.57572,1.13517
0.730665,1.783,1.59353,1.1334
0.691914,1.78353,1.62725,1.1392
0.694179,1.80776,1.62626,1.14832
0.724474,1.861,1.58983,1.095
0.702785,1.8133,1.56761,1.11448
0.70102,1.79723,1.59893,1.14911
0.699781,1.78583,1.56999,1.13413
0.707764,1.79949,1.55546,1.1677
0.665315,1.78898,1.59624,1.20895
0.689336,1.85452,1.62116,1.22753
0.713789,1.88259,1.58854,1.17111
0.720276,1.93207,1.56008,1.16147
0.728555,1.92646,1.5885,1.10789
0.70436,1.89667,1.57752,1.06224
0.693777,1.89445,1.59146,1.07197
0.740846,1.87409,1.60885,1.07455
0.707172,1.83755,1.63623,1.07965
0.695592,1.83541,1.64489,1.13437
0.683859,1.84426,1.64339,1.13444
0.684476,1.89538,1.60845,1.16491
0.70483,1.83589,1.58463,1.13318
0.762985,1.85732,1.57236,1.10376
0.703428,1.77203,1.58022,1.09232
0.703428,1.77203,1.58022,1.09232
0.70633,1.83619,1.64851,1.14953
0.669719,1.84802,1.63525,1.19509
0.690025,1.89352,1.62434,1.20701
0.693573,1.96216,1.63357,1.18288
0.700684,1.87354,1.63208,1.16902
0.717714,1.86835,1.60256,1.14726
0.727651,1.83281,1.58658,1.09752
0.710711,1.78648,1.57886,1.08071
0.723318,1.75525,1.58111,1.04234
0.712403,1.74468,1.63134,1.04619
0.716559,1.73077,1.606,1.05087
0.707797,1.76578,1.56795,1.09706
0.723483,1.71514,1.62638,1.0447
0.705733,1.70987,1.58227,0.935864
0.711263,1.69968,1.57938,0.931692
0.722545,1.70183,1.56771,0.876008
0.725256,1.69941,1.5641,0.868922
0.716717,1.7771,1.64638,0.884931
0.687717,1.71482,1.59419,0.895992
0.718068,1.78512,1.6303,0.881614
0.705739,1.79964,1.67805,0.858329
0.697187,1.85134,1.68018,0.866228
0.725471,1.8547,1.6704,0.911622
0.695939,1.82824,1.67584,0.878098
0.737856,1.78588,1.58914,0.928601
0.730971,1.68379,1.5638,0.912344
0.715847,1.62193,1.48394,0.855898
0.715847,1.62193,1.48394,0.855898
0.723487,1.63173,1.48166,0.853509
0.723487,1.63173,1.48166,0.853509
0.710145,1.6194,1.48149,0.821188
0.706645,1.63817,1.49707,0.852177
0.706379,1.66467,1.48071,0.836682
0.702315,1.65159,1.5049,0.893616
0.698925,1.61902,1.54698,0.933729
0.70434,1.59262,1.5548,0.951921
0.704772,1.52388,1.57245,1.06572
0.697158,1.53035,1.57986,1.06056
0.707846,1.53736,1.55896,1.08665
0.709449,1.5526,1.54655,1.08008
0.721791,1.56772,1.50954,1.05205
0.709498,1.54432,1.48527,0.946156
0.709596,1.55057,1.49963,0.958474
0.699149,1.58688,1.51504,0.938444
0.695853,1.59815,1.48146,0.937021
0.753698,1.5859,1.47233,0.949431
0.739225,1.68116,1.49859,0.91
0.733246,1.64677,1.50241,0.931266
0.747349,1.66867,1.49964,0.964639
0.723273,1.69207,1.50637,1.01925
0.710357,1.71674,1.55604,1.05117
0.670795,1.68001,1.5633,1.12564
0.715214,1.70666,1.58185,1.11471
0.742618,1.7358,1.5507,1.13242
0.732302,1.75603,1.50818,1.15092
0.740973,1.78742,1.5151,1.10307
0.725792,1.78174,1.49981,1.09164
0.723404,1.82403,1.53173,1.10141
0.723404,1.82403,1.53173,1.10141
0.741932,1.82377,1.55878,1.06314
0.756419,1.83783,1.57687,1.03841
0.718612,1.82932,1.58026,1.04009
0.735574,1.82732,1.60342,1.06258
0.710935,1.86588,1.64832,1.03289
0.735469,1.84793,1.58703,1.03642
0.742045,1.8535,1.59208,1.06255
0.712723,1.81396,1.61509,1.07934
0.717319,1.87754,1.67096,1.06642
0.690302,1.87722,1.68087,1.06391
0.693659,1.90022,1.70798,1.08931
0.675131,1.85921,1.70077,1.08384
0.684813,1.82901,1.70756,1.03444
0.693392,1.87868,1.68791,1.06964
0.722394,1.84343,1.64264,1.02993
0.736527,1.84133,1.60524,1.01069
0.728593,1.9065,1.6091,1.04825
0.743855,1.9038,1.61232,1.01092
0.728684,1.89913,1.61737,1.04143
0.691183,1.96242,1.61277,1.13606
0.692363,1.99319,1.65763,1.12979
0.678429,1.96903,1.59913,1.17222
0.699173,1.97253,1.58025,1.19482
0.699173,1.97253,1.58025,1.19482
0.699934,1.95972,1.5924,1.16943
0.746946,1.97488,1.5314,1.14786
0.690736,1.95144,1.57655,1.17623
0.698085,1.99708,1.59533,1.17792
0.698085,1.99708,1.59533,1.17792
0.688267,1.97252,1.60778,1.1963
0.686321,1.96406,1.64341,1.21632
0.665969,1.98411,1.69946,1.17072
0.665969,1.98411,1.69946,1.17072
0.665969,1.98411,1.69946,1.17072
0.688564,1.95233,1.69057,1.14546
0.682182,1.93976,1.67079,1.14594
0.70527,1.94076,1.64682,1.10645
0.719117,1.90308,1.65228,1.07621
0.721727,1.98702,1.57675,1.05427
0.721544,1.97957,1.64851,1.04078
0.71793,1.96482,1.63143,1.03947
0.71793,1.96482,1.63143,1.03947
0.711801,1.99402,1.66486,1.05907
0.713501,1.99199,1.64853,1.06598
0.743631,1.99317,1.62345,0.996946
0.748794,1.98004,1.59819,0.97796
0.733499,1.98036,1.63481,0.994149
0.731064,1.9989,1.61583,0.999722
0.746662,1.98037,1.617,0.938488
0.724739,1.99261,1.62943,0.952147
0.7129,1.9759,1.64012,0.956882
0.730106,1.9694,1.60072,0.877909
0.716729,1.94481,1.61426,0.923796
0.75756,1.99167,1.61466,0.932354
0.721979,1.95275,1.60918,0.967717
0.740716,1.86168,1.58201,1.0063
0.725779,1.84319,1.62428,0.96139
0.712743,1.76723,1.56474,1.01569
0.72534,1.79705,1.57744,1.04009
0.713886,1.80713,1.59688,1.10598
0.683149,1.79868,1.6164,1.13248
0.68287,1.75204,1.6403,1.13078
0.691042,1.66594,1.58739,1.20196
0.670395,1.7086,1.57388,1.1779
0.704685,1.75311,1.55732,1.19423
0.739908,1.78344,1.53889,1.17823
0.723625,1.8156,1.55161,1.19003
0.709386,1.95,1.52524,1.24455
0.707389,1.92933,1.5549,1.2602
0.704927,1.93267,1.52377,1.29808
