# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.260164 -----------------
#dely    BF
0.050  0.3849  0.0027
0.150  0.3491  0.0025
0.250  0.3196  0.0024
0.350  0.2877  0.0022
0.450  0.2582  0.0021
0.550  0.2234  0.0020
0.650  0.1837  0.0017
0.750  0.1537  0.0016
0.850  0.1285  0.0014
0.950  0.0918  0.0011
1.050  0.0786  0.0011
1.150  0.0509  0.0008
1.250  0.0350  0.0006
1.350  0.0242  0.0005
1.450  0.0184  0.0004
1.550  0.0116  0.0003
1.650  0.0027  0.0001
1.750 -0.0002 -0.0000
