# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.347323 -----------------
#dely    BF    dB     BFVar
0.050  0.5931  0.0003  0.0050
0.150  0.5450  0.0003  0.0032
0.250  0.4843  0.0003  0.0043
0.350  0.4154  0.0002  0.0038
0.450  0.3479  0.0002  0.0037
0.550  0.2843  0.0002  0.0024
0.650  0.2255  0.0002  0.0027
0.750  0.1737  0.0001  0.0023
0.850  0.1324  0.0001  0.0020
0.950  0.0962  0.0001  0.0023
1.050  0.0670  0.0001  0.0015
1.150  0.0457  0.0001  0.0011
1.250  0.0294  0.0000  0.0015
1.350  0.0176  0.0000  0.0006
1.450  0.0094  0.0000  0.0006
1.550  0.0046  0.0000  0.0004
1.650  0.0017  0.0000  0.0002
1.750  0.0002  0.0000  0.0002
