# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.27639 -----------------
#dely    BF
0.050  0.4019  0.0026
0.150  0.4138  0.0027
0.250  0.3464  0.0024
0.350  0.3059  0.0022
0.450  0.2844  0.0022
0.550  0.2257  0.0019
0.650  0.1880  0.0017
0.750  0.1557  0.0015
0.850  0.1218  0.0013
0.950  0.0932  0.0011
1.050  0.0779  0.0010
1.150  0.0627  0.0009
1.250  0.0388  0.0007
1.350  0.0207  0.0004
1.450  0.0174  0.0004
1.550  0.0050  0.0001
1.650  0.0048  0.0002
1.750 -0.0002 -0.0000
