# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0783671 -----------------
#dely    BF    dB     BFVar
0.050  0.1081  0.0000  0.0027
0.150  0.1010  0.0000  0.0046
0.250  0.0930  0.0000  0.0014
0.350  0.0854  0.0000  0.0018
0.450  0.0788  0.0000  0.0031
0.550  0.0681  0.0000  0.0013
0.650  0.0592  0.0000  0.0014
0.750  0.0491  0.0000  0.0015
0.850  0.0403  0.0000  0.0011
0.950  0.0318  0.0000  0.0009
1.050  0.0232  0.0000  0.0009
1.150  0.0173  0.0000  0.0006
1.250  0.0114  0.0000  0.0006
1.350  0.0078  0.0000  0.0008
1.450  0.0047  0.0000  0.0003
1.550  0.0027  0.0000  0.0006
1.650  0.0013  0.0000  0.0003
1.750  0.0004  0.0000  0.0002
