# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=9.8376e-05 -----------------
#dely    BF
0.050  0.3163  0.0130
0.150  0.2577  0.0106
0.250  0.2338  0.0103
0.350  0.1665  0.0079
0.450 -0.0434 -0.0023
0.550 -0.0393 -0.0021
0.650 -0.1326 -0.0087
0.750 -0.1288 -0.0103
0.850 -0.1670 -0.0151
0.950 -0.0750 -0.0084
1.050 -0.0653 -0.0084
1.150 -0.2355 -0.0359
1.250 -0.0041 -0.0010
1.350 -0.0335 -0.0086
1.450 -0.0002 -0.0001
1.550 -0.0487 -0.0244
1.650  0.0000  0.0000
1.750  0.0000  0.0000
