# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.000171095 -----------------
#dely    BF    dB     BFVar
0.050 -0.0315 -0.0002  0.0080
0.150 -0.0241 -0.0001  0.0043
0.250 -0.0083 -0.0000  0.0033
0.350  0.0033  0.0000  0.0048
0.450  0.0096  0.0001  0.0017
0.550  0.0117  0.0001  0.0020
0.650  0.0110  0.0001  0.0009
0.750  0.0107  0.0001  0.0009
0.850  0.0074  0.0001  0.0008
0.950  0.0050  0.0001  0.0003
1.050  0.0036  0.0001  0.0006
1.150  0.0019  0.0000  0.0003
1.250  0.0010  0.0000  0.0003
1.350  0.0004  0.0000  0.0001
1.450  0.0001  0.0000  0.0001
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
