 0.05 0.572869 0.0119268
 0.15 0.589395 0.0121309
 0.25 0.584742 0.012072
 0.35 0.549787 0.0117133
 0.45 0.579424 0.0119766
 0.55 0.573901 0.011922
 0.65 0.554157 0.0117115
 0.75 0.566095 0.0119007
 0.85 0.576948 0.0120619
 0.95 0.57349 0.0120542
 1.05 0.568477 0.011872
 1.15 0.581789 0.0119687
 1.25 0.579191 0.012005
 1.35 0.554142 0.0117516
 1.45 0.549344 0.0116876
 1.55 0.590938 0.0121156
 1.65 0.584812 0.0120188
 1.75 0.582033 0.0120299
 1.85 0.578974 0.0119635
 1.95 0.585597 0.0120929
 2.05 0.591826 0.0121444
 2.15 0.568678 0.0119223
 2.25 0.561795 0.0117672
 2.35 0.579454 0.0119455
 2.45 0.589161 0.0121288
 2.55 0.583018 0.0119728
 2.65 0.574609 0.012003
 2.75 0.56668 0.0117901
 2.85 0.567362 0.0119248
 2.95 0.583797 0.0121006
 3.05 0.574529 0.0119832
 3.15 0.597898 0.0122054
 3.25 0.568584 0.0119496
 3.35 0.598766 0.0121943
 3.45 0.582545 0.0120527
 3.55 0.581727 0.0120249
 3.65 0.574617 0.0118971
 3.75 0.56801 0.0118622
 3.85 0.554452 0.011738
 3.95 0.569401 0.0119099
 4.05 0.579552 0.0121091
 4.15 0.578071 0.0120155
 4.25 0.564684 0.0118997
 4.35 0.566058 0.0119099
 4.45 0.582146 0.0120184
 4.55 0.573277 0.0119701
 4.65 0.594643 0.0122467
 4.75 0.551935 0.0116201
 4.85 0.573976 0.0119736
 4.95 0.553235 0.0117044
 5.05 0.593295 0.0121398
 5.15 0.576985 0.011952
 5.25 0.574218 0.01196
 5.35 0.575265 0.012003
 5.45 0.529269 0.0114772
 5.55 0.488072 0.0111314
 5.65 0.431246 0.0103932
 5.75 0.40395 0.0100299
 5.85 0.349996 0.00931829
 5.95 0.29793 0.00862761
 6.05 0.267556 0.00819146
 6.15 0.208069 0.00711861
 6.25 0.171698 0.00650722
 6.35 0.128794 0.00557557
 6.45 0.0925491 0.00469301
 6.55 0.0552028 0.00351038
 6.65 0.0204796 0.00199937
 6.75 0.00483229 0.000934369
 6.85 0 nan
