# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0225046 -----------------
#dely    BF    dB     BFVar
0.050  0.0048  0.0000  0.0145
0.150 -0.0172 -0.0002  0.0105
0.250 -0.0388 -0.0004  0.0084
0.350 -0.0348 -0.0004  0.0037
0.450 -0.0305 -0.0004  0.0050
0.550 -0.0284 -0.0004  0.0064
0.650 -0.0240 -0.0004  0.0033
0.750 -0.0172 -0.0004  0.0044
0.850 -0.0139 -0.0003  0.0017
0.950 -0.0102 -0.0003  0.0032
1.050 -0.0063 -0.0002  0.0018
1.150 -0.0048 -0.0002  0.0015
1.250 -0.0023 -0.0001  0.0019
1.350 -0.0012 -0.0001  0.0009
1.450 -0.0002 -0.0000  0.0002
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
