# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0969316 -----------------
#dely    BF
0.050 -0.1424 -0.0009
0.150 -0.1180 -0.0007
0.250 -0.1059 -0.0007
0.350 -0.0974 -0.0007
0.450 -0.0779 -0.0006
0.550 -0.0786 -0.0007
0.650 -0.0701 -0.0007
0.750 -0.0743 -0.0008
0.850 -0.0347 -0.0004
0.950 -0.0285 -0.0004
1.050 -0.0329 -0.0005
1.150 -0.0258 -0.0004
1.250 -0.0194 -0.0004
1.350 -0.0244 -0.0006
1.450 -0.0118 -0.0003
1.550 -0.0134 -0.0005
1.650 -0.0091 -0.0004
1.750 -0.0046 -0.0004
