# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0666767 -----------------
#dely    BF    dB     BFVar
0.050  0.0920  0.0011  0.0148
0.150  0.0869  0.0011  0.0111
0.250  0.0849  0.0011  0.0104
0.350  0.0748  0.0011  0.0095
0.450  0.0710  0.0011  0.0102
0.550  0.0600  0.0010  0.0103
0.650  0.0587  0.0011  0.0089
0.750  0.0445  0.0009  0.0062
0.850  0.0360  0.0009  0.0040
0.950  0.0241  0.0007  0.0048
1.050  0.0151  0.0005  0.0023
1.150  0.0113  0.0005  0.0023
1.250  0.0046  0.0003  0.0013
1.350  0.0026  0.0002  0.0008
1.450  0.0003  0.0000  0.0001
1.550  0.0000  0.0000  0.0002
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
