  3.75 -1.182e-02
 11.25 -2.273e-02
 18.75 -1.585e-02
 26.25 -7.278e-03
 33.75 -1.510e-03
 41.25  2.442e-03
 48.75  3.982e-03
 56.25  4.451e-03
 63.75  4.740e-03
 71.25  4.127e-03
 78.75  3.552e-03
 86.25  3.096e-03
 93.75  2.500e-03
101.25  1.873e-03
108.75  1.822e-03
116.25  1.458e-03
123.75  1.230e-03
131.25  1.141e-03
138.75  9.898e-04
146.25  9.490e-04
153.75  7.527e-04
161.25  5.714e-04
168.75  5.218e-04
176.25  4.427e-04
#double Rx 13.0
#double Ry 13.0
#double tau 10.0
#double T 100.0
#double uxmax 1.3
#double uymax 1.3
#double etaG 1.7
#double ptmin 100.0
#double ymax 1.0
#double NMILLIONPAIRS 10
##double RHBT 6.0
##double RHBT 6.0
