  0.500:  4.775e-05   8.191e-05   1.368e-04  -2.230e-04
  1.500:  2.046e-05  -3.749e-06  -1.134e-04   7.896e-05
  2.500:  1.633e-05   1.863e-05   1.460e-05   1.645e-05
  3.500:  1.936e-05  -5.892e-05  -4.444e-06   1.306e-05
  4.500:  2.153e-05   2.806e-05   1.785e-05   2.312e-04
  5.500:  1.968e-05  -4.713e-06  -1.129e-05  -9.357e-06
  6.500:  1.917e-05   1.035e-04  -4.098e-06  -6.482e-05
  7.500:  1.709e-05  -1.295e-05  -1.056e-05  -1.597e-05
  8.500:  1.661e-05  -7.399e-06   2.900e-05  -5.873e-06
  9.500:  1.489e-05   2.392e-05   1.207e-05   2.062e-05
 10.500:  1.255e-05   3.482e-05   4.088e-05  -1.337e-06
 11.500:  9.321e-06   3.404e-05   9.043e-06   7.952e-06
 12.500:  1.084e-05   2.121e-05   8.991e-06   1.996e-05
 13.500:  7.987e-06   3.394e-05  -2.597e-06  -6.513e-06
 14.500:  8.248e-06   2.239e-05   8.721e-06  -7.485e-06
 15.500:  7.185e-06   1.716e-05  -6.536e-06   1.727e-06
 16.500:  5.932e-06   3.060e-05  -3.152e-06   1.205e-05
 17.500:  4.390e-06  -5.301e-07  -2.633e-06   5.518e-06
 18.500:  4.765e-06  -1.148e-07   6.339e-07   8.836e-06
 19.500:  4.247e-06   6.773e-06  -8.078e-07  -1.435e-06
 20.500:  3.256e-06   2.253e-05  -7.398e-07   4.760e-06
 21.500:  3.270e-06   7.397e-06  -1.009e-07   5.457e-06
 22.500:  2.719e-06   1.027e-05   7.061e-07  -2.167e-06
 23.500:  2.420e-06   2.371e-05   8.880e-07   4.021e-06
 24.500:  1.909e-06   3.056e-06  -9.932e-07  -9.377e-07
 25.500:  1.823e-06   2.169e-05  -1.092e-06   5.808e-06
 26.500:  1.586e-06   1.460e-05   1.865e-09   7.530e-06
 27.500:  1.715e-06   1.584e-05   3.081e-06   1.379e-06
 28.500:  1.195e-06   5.267e-06  -3.183e-07   1.837e-06
 29.500:  1.225e-06   1.171e-05  -3.898e-07  -3.529e-07
 30.500:  9.323e-07   3.938e-06   5.613e-07   5.597e-08
 31.500:  7.779e-07   5.483e-06  -4.063e-08  -6.818e-07
 32.500:  7.609e-07   1.511e-05   2.211e-07   9.514e-07
 33.500:  6.240e-07   1.537e-06  -3.337e-07  -1.046e-06
 34.500:  6.485e-07   4.559e-06   3.493e-07   3.950e-07
 35.500:  4.925e-07   2.447e-06  -1.491e-07   4.007e-06
 36.500:  3.763e-07   7.440e-06   9.251e-08   4.456e-08
 37.500:  3.735e-07   5.535e-06   1.232e-07  -2.823e-07
 38.500:  3.382e-07   6.263e-06   1.895e-07  -5.045e-07
 39.500:  2.550e-07   1.376e-06   6.298e-08  -3.165e-07
 40.500:  2.426e-07   2.197e-06   1.791e-07  -2.148e-07
 41.500:  2.356e-07   2.660e-06   6.983e-08  -8.048e-08
 42.500:  1.454e-07  -3.230e-07   6.357e-08  -3.068e-07
 43.500:  1.598e-07   1.515e-06   3.671e-08  -1.538e-08
 44.500:  1.286e-07   2.426e-06  -7.445e-08   1.968e-08
 45.500:  1.537e-07  -1.277e-06  -6.732e-08   2.070e-07
 46.500:  1.104e-07   1.859e-07   1.916e-07   7.287e-08
 47.500:  9.170e-08   1.841e-06   8.680e-08  -3.950e-08
 48.500:  1.049e-07   2.735e-06   4.269e-08   3.973e-08
 49.500:  8.444e-08   4.739e-07   2.459e-09  -6.609e-08
 50.500:  9.049e-08  -2.400e-07  -7.221e-08   7.098e-08
 51.500:  6.301e-08  -2.013e-07  -4.299e-08   3.173e-09
 52.500:  5.774e-08   9.914e-07   9.546e-07  -9.261e-10
 53.500:  6.394e-08   2.042e-07  -2.393e-08   3.444e-08
 54.500:  4.822e-08   1.246e-06   4.706e-08   1.257e-10
 55.500:  2.067e-08  -9.964e-08  -1.666e-08   2.505e-08
 56.500:  4.238e-08  -2.010e-08  -1.890e-08  -3.890e-09
 57.500:  3.610e-08   5.626e-07   6.384e-08  -1.512e-08
 58.500:  3.488e-08  -1.538e-07  -5.386e-08   1.646e-08
 59.500:  2.922e-08  -1.139e-07  -1.023e-08  -2.919e-08
 60.500:  2.609e-08  -1.589e-08   2.989e-08   1.463e-08
 61.500:  2.525e-08   4.929e-07   1.924e-08   6.344e-08
 62.500:  2.037e-08  -1.031e-07  -1.371e-08  -4.867e-08
 63.500:  2.763e-08  -2.733e-07  -8.540e-09  -2.751e-08
 64.500:  1.721e-08   1.034e-07  -1.270e-08  -1.975e-08
 65.500:  1.484e-08   1.690e-07   1.407e-08  -6.635e-09
 66.500:  2.159e-08   1.033e-07  -4.238e-09   2.699e-08
 67.500:  2.620e-08   9.516e-07   7.946e-09   2.682e-09
 68.500:  1.357e-08  -7.090e-08   4.761e-09   6.826e-08
 69.500:  1.483e-08   1.745e-07   2.532e-08  -4.481e-08
 70.500:  9.606e-09   7.238e-08   3.778e-09  -2.171e-08
 71.500:  1.401e-08  -4.586e-08   2.512e-08   1.772e-08
 72.500:  6.056e-09   7.340e-08  -8.759e-09  -3.435e-09
 73.500:  8.838e-09   1.557e-07  -1.654e-08  -6.639e-09
 74.500:  8.602e-09  -2.534e-08  -1.577e-09   3.795e-09
 75.500:  9.772e-09   7.626e-07   4.270e-09   3.516e-08
 76.500:  8.159e-09  -4.168e-08  -1.932e-09  -2.370e-09
 77.500:  6.624e-09  -2.635e-08   3.326e-09  -2.566e-08
 78.500:  5.165e-09   1.117e-09  -2.583e-09   2.430e-09
 79.500:  6.295e-09   3.602e-07  -3.288e-09  -1.225e-08
 80.500:  8.596e-09   4.125e-07   4.515e-08   1.688e-08
 81.500:  9.584e-09  -8.948e-08  -6.894e-11   4.416e-09
 82.500:  8.184e-09  -9.520e-08   9.829e-09   1.141e-08
 83.500:  9.131e-09  -7.245e-08   9.067e-09   2.060e-08
 84.500:  5.572e-09   1.968e-07  -1.311e-09   3.642e-09
 85.500:  7.620e-09   8.760e-07   1.772e-08  -1.530e-08
 86.500:  1.064e-09  -3.000e-09   2.375e-09  -5.024e-09
 87.500:  2.079e-09  -6.525e-08   1.910e-09   6.400e-10
 88.500:  2.032e-09  -1.045e-08  -2.773e-09  -3.375e-11
 89.500:  6.954e-09   4.526e-08   5.664e-09  -2.685e-08
 90.500:  4.858e-09  -6.361e-08   7.624e-09   5.814e-09
 91.500:  2.851e-09  -2.988e-09   5.610e-09   8.331e-09
 92.500:  3.720e-09  -2.749e-08  -3.642e-09  -3.090e-09
 93.500:  4.551e-09   3.269e-07   8.993e-09   2.182e-09
 94.500:  2.673e-09   1.111e-08   3.979e-10   1.841e-09
