  0.500:  5.799e-01   5.775e-01   5.813e-01   5.808e-01
  1.500:  5.628e-01   5.428e-01   5.755e-01   5.704e-01
  2.500:  5.315e-01   4.813e-01   5.645e-01   5.508e-01
  3.500:  4.903e-01   4.050e-01   5.493e-01   5.237e-01
  4.500:  4.442e-01   3.265e-01   5.310e-01   4.913e-01
  5.500:  3.970e-01   2.542e-01   5.104e-01   4.557e-01
  6.500:  3.512e-01   1.920e-01   4.881e-01   4.186e-01
  7.500:  3.080e-01   1.399e-01   4.643e-01   3.813e-01
  8.500:  2.678e-01   9.679e-02   4.393e-01   3.446e-01
  9.500:  2.307e-01   6.190e-02   4.133e-01   3.089e-01
 10.500:  1.970e-01   3.542e-02   3.867e-01   2.748e-01
 11.500:  1.671e-01   1.749e-02   3.601e-01   2.426e-01
 12.500:  1.411e-01   7.155e-03   3.339e-01   2.125e-01
 13.500:  1.189e-01   2.235e-03   3.083e-01   1.849e-01
 14.500:  1.001e-01   9.703e-05   2.833e-01   1.599e-01
 15.500:  8.414e-02  -1.128e-03   2.590e-01   1.375e-01
 16.500:  7.066e-02  -1.893e-03   2.353e-01   1.176e-01
 17.500:  5.934e-02  -1.568e-03   2.126e-01   1.002e-01
 18.500:  4.994e-02   5.235e-04   1.910e-01   8.498e-02
 19.500:  4.221e-02   4.183e-03   1.709e-01   7.191e-02
 20.500:  3.584e-02   8.169e-03   1.523e-01   6.076e-02
 21.500:  3.052e-02   1.086e-02   1.353e-01   5.133e-02
 22.500:  2.599e-02   1.125e-02   1.197e-01   4.336e-02
 23.500:  2.210e-02   9.464e-03   1.055e-01   3.662e-02
 24.500:  1.877e-02   6.597e-03   9.243e-02   3.088e-02
 25.500:  1.593e-02   3.923e-03   8.074e-02   2.595e-02
 26.500:  1.350e-02   2.125e-03   7.047e-02   2.169e-02
 27.500:  1.139e-02   1.034e-03   6.164e-02   1.801e-02
 28.500:  9.515e-03  -4.165e-05   5.413e-02   1.486e-02
 29.500:  7.844e-03  -1.687e-03   4.770e-02   1.221e-02
 30.500:  6.369e-03  -3.937e-03   4.208e-02   1.002e-02
 31.500:  5.090e-03  -6.278e-03   3.708e-02   8.230e-03
 32.500:  3.999e-03  -8.007e-03   3.260e-02   6.736e-03
 33.500:  3.076e-03  -8.662e-03   2.864e-02   5.403e-03
 34.500:  2.305e-03  -8.223e-03   2.521e-02   4.088e-03
 35.500:  1.687e-03  -7.004e-03   2.228e-02   2.690e-03
 36.500:  1.226e-03  -5.392e-03   1.974e-02   1.191e-03
 37.500:  9.100e-04  -3.636e-03   1.748e-02  -3.243e-04
 38.500:  6.968e-04  -1.832e-03   1.544e-02  -1.690e-03
 39.500:  5.232e-04  -5.085e-05   1.367e-02  -2.719e-03
 40.500:  3.363e-04   1.521e-03   1.228e-02  -3.279e-03
 41.500:  1.202e-04   2.552e-03   1.138e-02  -3.338e-03
 42.500: -1.001e-04   2.684e-03   1.097e-02  -2.971e-03
 43.500: -2.823e-04   1.716e-03   1.092e-02  -2.320e-03
 44.500: -3.991e-04  -2.428e-04   1.101e-02  -1.531e-03
 45.500: -4.567e-04  -2.746e-03   1.103e-02  -6.978e-04
 46.500: -4.874e-04  -5.127e-03   1.088e-02   1.458e-04
 47.500: -5.242e-04  -6.718e-03   1.061e-02   1.001e-03
 48.500: -5.796e-04  -7.094e-03   1.035e-02   1.859e-03
 49.500: -6.420e-04  -6.241e-03   1.023e-02   2.666e-03
 50.500: -6.912e-04  -4.556e-03   1.027e-02   3.338e-03
