# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.262096 -----------------
#dely    BF
0.050  0.4880  0.0005
0.150  0.4440  0.0005
0.250  0.3956  0.0005
0.350  0.3368  0.0004
0.450  0.2647  0.0004
0.550  0.2149  0.0003
0.650  0.1611  0.0003
0.750  0.1149  0.0002
0.850  0.0827  0.0002
0.950  0.0537  0.0001
1.050  0.0329  0.0001
1.150  0.0186  0.0001
1.250  0.0103  0.0000
1.350  0.0029  0.0000
1.450  0.0005  0.0000
1.550 -0.0002 -0.0000
1.650 -0.0004 -0.0000
1.750 -0.0001 -0.0000
