# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.25
# ------- normalization=0.227139 -----------------
#dely    BF
0.050  0.3138  0.0020
0.150  0.2746  0.0018
0.250  0.2670  0.0018
0.350  0.2549  0.0018
0.450  0.2353  0.0018
0.550  0.2021  0.0017
0.650  0.1479  0.0013
0.750  0.1631  0.0016
0.850  0.0925  0.0010
0.950  0.0974  0.0011
1.050  0.0750  0.0010
1.150  0.0487  0.0007
1.250  0.0435  0.0007
1.350  0.0224  0.0004
1.450  0.0133  0.0003
1.550  0.0155  0.0004
1.650  0.0049  0.0002
1.750 -0.0004 -0.0000
