# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.284452 -----------------
#dely    BF
0.050  0.4280  0.0025
0.150  0.4006  0.0025
0.250  0.3856  0.0025
0.350  0.3365  0.0023
0.450  0.2819  0.0021
0.550  0.2340  0.0019
0.650  0.2074  0.0018
0.750  0.1664  0.0016
0.850  0.1326  0.0014
0.950  0.0944  0.0011
1.050  0.0641  0.0009
1.150  0.0413  0.0006
1.250  0.0317  0.0006
1.350  0.0204  0.0004
1.450  0.0151  0.0004
1.550  0.0047  0.0002
1.650  0.0005  0.0000
1.750 -0.0005 -0.0000
