! kt  lambda  Rout  Routlab Rside   Rlong
  50.0 0.2699  6.617  6.229  5.583 15.368  1.116
 100.0 0.3187  8.252  6.708  5.349 12.847  1.254
 150.0 0.3820  9.970  6.791  4.977 10.679  1.365
 200.0 0.4425 11.708  6.701  4.650  9.189  1.441
 250.0 0.4978 13.603  6.631  4.329  8.089  1.532
 300.0 0.5402 15.357  6.478  4.053  7.207  1.598
 350.0 0.5787 17.196  6.370  3.820  6.568  1.667
 400.0 0.6062 18.957  6.245  3.656  5.970  1.708
 450.0 0.6342 20.623  6.109  3.543  5.481  1.724
 500.0 0.6412 22.407  6.024  3.372  5.143  1.787
