'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0'
0.148607,0.886153,0.776543,0.808753,0.236782,0.0352441,0.845719,0.862065
0.148788,0.881888,0.771131,0.809186,0.239857,0.0335157,0.847143,0.854568
0.148329,0.878044,0.768114,0.813877,0.234715,0.0444874,0.848444,0.856282
0.14112,0.882388,0.761597,0.804361,0.239874,0.0511161,0.848728,0.852135
0.141641,0.879145,0.763922,0.800708,0.240458,0.0509985,0.84633,0.855368
0.136713,0.882671,0.764496,0.80115,0.240661,0.0536529,0.84496,0.85272
0.139911,0.876132,0.76782,0.794431,0.233625,0.0499541,0.843465,0.859729
0.140991,0.87584,0.761015,0.789975,0.231737,0.0464733,0.849367,0.853068
0.146202,0.87972,0.760284,0.792742,0.232441,0.044655,0.855137,0.860359
0.146573,0.885257,0.759649,0.79908,0.234824,0.0441772,0.852649,0.859888
0.145988,0.883297,0.761544,0.803438,0.237431,0.0452149,0.849284,0.856952
0.141176,0.880702,0.757083,0.803176,0.235211,0.0478101,0.845826,0.854104
0.137647,0.88598,0.756942,0.805015,0.235163,0.0493747,0.844276,0.85822
0.14004,0.879026,0.753019,0.801889,0.23457,0.0637765,0.851075,0.858428
0.13225,0.883238,0.75781,0.805652,0.23334,0.0561413,0.845617,0.86077
0.135009,0.87608,0.765363,0.808717,0.230741,0.0555392,0.843169,0.853855
0.126304,0.878443,0.75622,0.808946,0.229779,0.0600354,0.842786,0.851851
0.126133,0.879547,0.750176,0.813152,0.229557,0.0522367,0.84053,0.853304
0.129516,0.87935,0.751799,0.816331,0.231396,0.0576281,0.845873,0.863409
0.135751,0.878765,0.751316,0.815449,0.229256,0.0539251,0.853868,0.861568
0.133402,0.888865,0.741958,0.81105,0.229746,0.0568045,0.859392,0.871322
0.13376,0.891458,0.743066,0.812007,0.233616,0.0577084,0.858306,0.86653
0.132262,0.879545,0.738197,0.813335,0.239079,0.0512324,0.859988,0.867006
0.126591,0.880987,0.736922,0.81769,0.237482,0.0495298,0.860909,0.864114
0.126591,0.880987,0.736922,0.81769,0.237482,0.0495298,0.860909,0.864114
0.125744,0.87779,0.743049,0.814772,0.232725,0.0525169,0.856166,0.86559
0.124798,0.876645,0.747909,0.818005,0.236465,0.0486616,0.862109,0.866621
0.129806,0.876617,0.752923,0.814349,0.226475,0.0509841,0.859725,0.870434
0.129913,0.876255,0.738256,0.811406,0.232954,0.0398954,0.857016,0.87345
0.122829,0.876222,0.739902,0.816958,0.2311,0.0431412,0.853643,0.866437
0.124754,0.873515,0.734623,0.811975,0.23132,0.048539,0.854331,0.865164
0.131342,0.876412,0.735224,0.811865,0.237389,0.0550203,0.855638,0.861174
0.128616,0.882094,0.740116,0.811263,0.243912,0.0644126,0.848561,0.856283
0.132981,0.877342,0.747491,0.809107,0.242354,0.0633137,0.851884,0.856857
0.131723,0.877106,0.750172,0.797117,0.238824,0.0621225,0.85303,0.860042
0.134346,0.879508,0.753394,0.796352,0.244163,0.0694514,0.860471,0.865563
0.128463,0.874513,0.743386,0.806794,0.244629,0.0756401,0.859755,0.863897
0.126594,0.880181,0.742726,0.807728,0.247179,0.0794008,0.856743,0.862929
