# ICODE=1735356928, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=1.26603 -----------------
#dely    BF
0.050  2.1958  0.0164
0.150  2.2807  0.0175
0.250  1.8811  0.0152
0.350  1.5320  0.0129
0.450  1.3366  0.0118
0.550  1.0876  0.0103
0.650  0.7872  0.0080
0.750  0.5950  0.0063
0.850  0.4718  0.0055
0.950  0.3394  0.0043
1.050  0.1473  0.0020
1.150  0.0504  0.0008
1.250  0.0643  0.0011
1.350  0.0181  0.0004
1.450 -0.0260 -0.0006
1.550 -0.0483 -0.0013
1.650 -0.0532 -0.0020
1.750  0.0005  0.0000
