# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0496075 -----------------
#dely    BF    dB     BFVar
0.050 -0.0702 -0.0003  0.0019
0.150 -0.0683 -0.0003  0.0037
0.250 -0.0604 -0.0003  0.0022
0.350 -0.0556 -0.0002  0.0018
0.450 -0.0504 -0.0002  0.0018
0.550 -0.0442 -0.0002  0.0017
0.650 -0.0389 -0.0002  0.0014
0.750 -0.0309 -0.0002  0.0012
0.850 -0.0251 -0.0002  0.0011
0.950 -0.0199 -0.0002  0.0012
1.050 -0.0137 -0.0001  0.0012
1.150 -0.0092 -0.0001  0.0007
1.250 -0.0054 -0.0001  0.0005
1.350 -0.0027 -0.0000  0.0003
1.450 -0.0010 -0.0000  0.0001
1.550 -0.0002 -0.0000  0.0000
1.650 -0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000
