0 1593.03 83.4084 -62.4967 539.732 3839.92 2.0154 -50.3473 660.354 222.867 53.1727 -282.66 619.5 273.203 40.8487 -160.883 897.061 803.05 50.7295 -385.606 893.527 2621.57 -315.847 -187.37 603.104 1759.02 -103.76 -81.9693 1419.65 2123.4 -22.4962 -360.788 1043.7 1300.52 41.5305 -195.088 555.213 2153.93 -513.284 -588.677 1772.08 1531.42 -252.46 -263.213 1946.95 596.577 -1191.67 -184.086 529.927 1914.06 -210.183 -463.783 37.3978 865.538 -31.3439 -396.568 1795.46 3856.89 -25.8871 -484.379 499.138 2901.03 -140.124 -285.625 1085.11 1874.79 156.523 -267.412 40.1129 4088.33 -118.647 -591.465 509.645 807.08 36.2894 -217.683 624.207 1534.28 -130.771 -273.275 1368.34 
0.016 1590.96 83.3144 -62.4639 539.718 3822.19 1.97453 -50.3674 660.378 222.805 52.8489 -282.643 609.958 273.126 40.3201 -160.813 895.708 802.732 50.6804 -385.586 892.007 2620.03 -315.302 -187.369 602.968 1758.76 -103.749 -81.9409 1414.81 2122.29 -22.5082 -360.469 1039.04 1300.35 41.5024 -195.084 554.578 2152.73 -513.37 -588.598 1770.04 1530.68 -248.881 -263.198 1929.8 597.069 -1184.2 -184.086 530.119 1913.14 -210.061 -458.716 37.5521 866.399 -31.3664 -396.503 1795.31 3853.41 -26.0278 -484.352 498.983 2897.6 -138.36 -285.353 1085.13 1874.43 156.315 -267.365 40.1923 4073.08 -118.653 -591.384 507.2 809.474 36.285 -217.652 623.988 1534.11 -126.419 -273.259 1368.24 
0.032 1584.76 83.0324 -62.3656 539.677 3769.65 1.85201 -50.4271 660.448 222.622 51.8841 -282.593 582.16 272.895 38.7433 -160.604 891.666 801.778 50.5334 -385.525 887.47 2615.41 -313.671 -187.363 602.563 1757.96 -103.714 -81.8558 1400.46 2118.94 -22.5441 -359.514 1025.22 1299.84 41.418 -195.073 552.677 2149.14 -513.627 -588.359 1763.93 1528.45 -238.387 -263.153 1879.69 598.536 -1162.22 -184.085 530.692 1910.38 -209.696 -444.045 38.0142 868.962 -31.434 -396.311 1794.86 3843 -26.4492 -484.27 498.518 2887.38 -133.167 -284.538 1085.17 1873.35 155.69 -267.225 40.4303 4027.87 -118.673 -591.142 499.955 816.525 36.2716 -217.558 623.33 1533.6 -113.849 -273.21 1367.93 
0.048 1574.5 82.5632 -62.2019 539.609 3684.23 1.64816 -50.5253 660.564 222.316 50.297 -282.51 538.46 272.511 36.1452 -160.254 884.991 800.192 50.2886 -385.423 879.976 2607.73 -310.97 -187.355 601.89 1756.64 -103.656 -81.7141 1377.04 2113.39 -22.604 -357.93 1002.73 1298.99 41.2775 -195.053 549.527 2143.16 -514.053 -587.961 1753.81 1524.76 -221.683 -263.078 1800.46 600.953 -1127.02 -184.083 531.643 1905.8 -209.089 -421.224 38.7828 873.173 -31.5465 -395.991 1794.11 3825.75 -27.149 -484.134 497.746 2870.46 -124.826 -283.187 1085.23 1871.54 154.652 -266.993 40.8266 3954.33 -118.705 -590.738 488.168 827.851 36.2494 -217.401 622.236 1532.74 -94.4323 -273.13 1367.43 
0.064 1560.28 81.9077 -61.9733 539.514 3568.99 1.36345 -50.66 660.726 221.889 48.1186 -282.393 482.348 271.972 32.5698 -159.767 875.776 797.976 49.9469 -385.28 869.63 2597.05 -307.223 -187.342 600.948 1754.78 -103.575 -81.516 1345.26 2105.64 -22.6877 -355.732 972.344 1297.79 41.0812 -195.026 545.154 2134.84 -514.643 -587.405 1739.77 1519.61 -199.842 -262.973 1697.78 604.28 -1080.55 -184.08 532.965 1899.4 -208.242 -392.323 39.8552 878.944 -31.7039 -395.543 1793.06 3801.78 -28.1238 -483.944 496.668 2847.03 -113.776 -281.311 1085.29 1868.99 153.205 -266.667 41.3807 3855.04 -118.75 -590.173 472.253 842.85 36.2183 -217.182 620.71 1531.54 -70.1469 -273.017 1366.72 
0.08 1542.25 81.0676 -61.6801 539.391 3428.02 0.998581 -50.8286 660.932 221.34 45.3903 -282.243 417.937 271.281 28.0768 -159.143 864.143 795.139 49.5089 -385.097 856.569 2583.43 -302.465 -187.326 599.741 1752.4 -103.471 -81.2619 1306.08 2095.73 -22.7952 -352.936 935.048 1296.26 40.8295 -194.991 539.594 2124.19 -515.39 -586.692 1721.92 1513.04 -174.177 -262.838 1578.31 608.458 -1025.17 -184.076 534.649 1891.2 -207.158 -359.621 41.228 886.154 -31.9059 -394.969 1791.72 3771.29 -29.3687 -483.7 495.288 2817.34 -100.57 -278.922 1085.33 1865.69 151.357 -266.249 42.0917 3733.28 -118.808 -589.448 452.743 860.74 36.1784 -216.9 618.757 1530 -43.2314 -272.873 1365.81 
0.096 1520.6 80.0446 -61.323 539.242 3266.09 0.554436 -51.0277 661.18 220.669 42.1632 -282.06 349.414 270.437 22.7398 -158.384 850.246 791.687 48.9758 -384.873 840.964 2566.93 -296.739 -187.307 598.272 1749.49 -103.344 -80.9523 1260.57 2083.7 -22.9264 -349.565 892.005 1294.39 40.5228 -194.948 532.893 2111.27 -516.286 -585.821 1700.44 1505.06 -146.103 -262.673 1448.84 613.419 -963.43 -184.071 536.684 1881.25 -205.841 -325.254 42.8964 894.654 -32.1524 -394.268 1790.08 3734.49 -30.8774 -483.402 493.61 2781.68 -85.8216 -276.04 1085.33 1861.62 149.114 -265.741 42.9586 3592.83 -118.879 -588.564 430.259 880.613 36.1296 -216.557 616.383 1528.12 -15.841 -272.696 1364.7 
0.112 1495.53 78.8412 -60.9026 539.065 3088.37 0.0320813 -51.2535 661.469 219.878 38.4955 -281.844 280.593 269.441 16.6444 -157.492 834.262 787.631 48.3489 -384.609 823.016 2547.65 -290.097 -187.284 596.543 1746.07 -103.194 -80.5877 1209.92 2069.59 -23.0811 -345.647 844.462 1292.19 40.1616 -194.898 525.105 2096.12 -517.322 -584.795 1675.5 1495.73 -116.999 -262.478 1315.57 619.079 -897.822 -184.066 539.056 1869.56 -204.295 -290.988 44.8551 904.27 -32.4429 -393.442 1788.14 3691.67 -32.6424 -483.05 491.638 2740.43 -70.1617 -272.685 1085.26 1856.77 146.488 -265.141 43.9802 3437.72 -118.962 -587.522 405.469 901.5 36.0721 -216.152 613.598 1525.91 10.2097 -272.487 1363.39 
0.128 1467.28 77.4599 -60.4199 538.861 2900.06 -0.567228 -51.5014 661.796 218.967 34.4517 -281.595 214.602 268.294 9.88558 -156.47 816.387 782.981 47.6297 -384.304 802.947 2525.7 -282.596 -187.257 594.559 1742.12 -103.021 -80.1687 1155.34 2053.46 -23.2591 -341.21 793.69 1289.65 39.7467 -194.839 516.29 2078.81 -518.486 -583.615 1647.33 1485.07 -88.1059 -262.254 1183.64 625.345 -830.588 -184.059 541.75 1856.18 -202.525 -258.119 47.0977 914.809 -32.7773 -392.492 1785.91 3643.14 -34.6549 -482.644 489.38 2693.98 -54.1886 -268.882 1085.08 1851.12 143.491 -264.453 45.1549 3271.94 -119.057 -586.323 379.051 922.421 36.0058 -215.687 610.41 1523.35 33.5867 -272.246 1361.88 
0.144 1436.13 75.9039 -59.8758 538.629 2706.08 -1.24206 -51.7668 662.16 217.937 30.0995 -281.313 153.749 266.996 2.56537 -155.321 796.833 777.749 46.8199 -383.959 780.996 2501.19 -274.3 -187.226 592.324 1737.67 -102.826 -79.6959 1098.02 2035.37 -23.4604 -336.289 740.917 1286.77 39.2787 -194.773 506.519 2059.4 -519.766 -582.282 1616.17 1473.14 -60.4489 -262 1056.97 632.116 -763.62 -184.052 544.747 1841.15 -200.537 -227.486 49.6168 926.064 -33.1551 -391.419 1783.39 3589.24 -36.9051 -482.185 486.841 2642.78 -38.436 -264.658 1084.76 1844.64 140.134 -263.676 46.4813 3099.3 -119.165 -584.968 351.659 942.444 35.9307 -215.161 606.829 1520.46 53.4659 -271.974 1360.18 
