# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0116417 -----------------
#dely    BF    dB     BFVar
0.050 -0.0295 -0.0002  0.0088
0.150 -0.0276 -0.0002  0.0031
0.250 -0.0214 -0.0001  0.0033
0.350 -0.0153 -0.0001  0.0045
0.450 -0.0098 -0.0001  0.0030
0.550 -0.0063 -0.0001  0.0014
0.650 -0.0039 -0.0000  0.0010
0.750 -0.0014 -0.0000  0.0015
0.850 -0.0004 -0.0000  0.0006
0.950 -0.0001 -0.0000  0.0006
1.050 -0.0001 -0.0000  0.0008
1.150 -0.0001 -0.0000  0.0003
1.250 -0.0003 -0.0000  0.0002
1.350 -0.0001 -0.0000  0.0001
1.450 -0.0001 -0.0000  0.0001
1.550 -0.0000 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
