! ptbar_pion= 0.3310  ptbar_kaon= 0.5496  ptbar_proton= 0.7616
!   mt      pions       kaons      protons
0.0125  1.476e+03  3.886e+01  1.347e+01
0.0375  1.164e+03  3.713e+01  1.317e+01
0.0625  9.326e+02  3.465e+01  1.274e+01
0.0875  7.492e+02  3.234e+01  1.229e+01
0.1125  6.084e+02  2.979e+01  1.164e+01
0.1375  4.961e+02  2.694e+01  1.094e+01
0.1625  4.099e+02  2.386e+01  1.032e+01
0.1875  3.401e+02  2.154e+01  9.537e+00
0.2125  2.821e+02  1.920e+01  8.944e+00
0.2375  2.349e+02  1.729e+01  8.320e+00
0.2625  1.972e+02  1.529e+01  7.601e+00
0.2875  1.662e+02  1.352e+01  6.896e+00
0.3125  1.416e+02  1.185e+01  6.321e+00
0.3375  1.204e+02  1.064e+01  5.729e+00
0.3625  1.027e+02  9.265e+00  5.201e+00
0.3875  8.793e+01  8.197e+00  4.752e+00
0.4125  7.534e+01  7.340e+00  4.276e+00
0.4375  6.463e+01  6.312e+00  3.846e+00
0.4625  5.518e+01  5.659e+00  3.476e+00
0.4875  4.795e+01  4.925e+00  3.157e+00
0.5125  4.107e+01  4.418e+00  2.781e+00
0.5375  3.573e+01  3.867e+00  2.505e+00
0.5625  3.075e+01  3.362e+00  2.290e+00
0.5875  2.640e+01  2.986e+00  2.024e+00
0.6125  2.333e+01  2.639e+00  1.834e+00
0.6375  2.023e+01  2.323e+00  1.624e+00
0.6625  1.760e+01  2.001e+00  1.472e+00
0.6875  1.526e+01  1.781e+00  1.266e+00
0.7125  1.328e+01  1.622e+00  1.147e+00
0.7375  1.152e+01  1.386e+00  1.020e+00
0.7625  1.014e+01  1.208e+00  8.922e-01
0.7875  8.906e+00  1.067e+00  7.799e-01
0.8125  7.713e+00  9.275e-01  6.957e-01
0.8375  6.752e+00  8.620e-01  6.447e-01
0.8625  6.003e+00  6.965e-01  5.660e-01
0.8875  5.203e+00  6.611e-01  5.125e-01
0.9125  4.562e+00  5.770e-01  4.426e-01
0.9375  3.965e+00  4.898e-01  4.000e-01
0.9625  3.496e+00  4.375e-01  3.624e-01
0.9875  2.999e+00  4.017e-01  2.934e-01
1.0125  2.608e+00  3.408e-01  2.711e-01
1.0375  2.276e+00  3.141e-01  2.466e-01
1.0625  2.110e+00  2.888e-01  2.254e-01
1.0875  1.850e+00  2.407e-01  1.811e-01
1.1125  1.579e+00  2.046e-01  1.654e-01
1.1375  1.342e+00  1.967e-01  1.498e-01
1.1625  1.230e+00  1.710e-01  1.276e-01
1.1875  1.133e+00  1.403e-01  1.256e-01
1.2125  9.694e-01  1.198e-01  1.079e-01
1.2375  8.380e-01  1.131e-01  9.132e-02
1.2625  7.200e-01  1.126e-01  8.399e-02
1.2875  6.466e-01  9.277e-02  7.511e-02
1.3125  5.636e-01  8.223e-02  6.345e-02
1.3375  4.928e-01  6.598e-02  5.184e-02
1.3625  4.545e-01  6.046e-02  5.688e-02
1.3875  3.908e-01  5.433e-02  4.436e-02
1.4125  3.677e-01  4.785e-02  4.125e-02
1.4375  3.093e-01  4.600e-02  4.041e-02
1.4625  2.846e-01  3.613e-02  3.482e-02
1.4875  2.352e-01  3.495e-02  2.757e-02
1.5125  2.213e-01  3.452e-02  2.261e-02
1.5375  1.887e-01  2.375e-02  2.354e-02
1.5625  1.598e-01  1.997e-02  1.738e-02
1.5875  1.420e-01  2.088e-02  1.721e-02
1.6125  1.381e-01  2.109e-02  1.704e-02
1.6375  1.193e-01  2.106e-02  1.484e-02
