! ptbar_pion= 0.4181  ptbar_kaon= 0.6781  ptbar_proton= 0.9895
!   mt      pions       kaons      protons
0.0125  1.095e+03  3.537e+01  7.862e+00
0.0375  8.826e+02  3.245e+01  7.489e+00
0.0625  7.212e+02  2.944e+01  7.399e+00
0.0875  5.935e+02  2.753e+01  7.026e+00
0.1125  4.956e+02  2.489e+01  6.790e+00
0.1375  4.140e+02  2.265e+01  6.393e+00
0.1625  3.501e+02  2.088e+01  5.985e+00
0.1875  2.964e+02  1.891e+01  5.747e+00
0.2125  2.522e+02  1.721e+01  5.447e+00
0.2375  2.166e+02  1.558e+01  5.173e+00
0.2625  1.856e+02  1.427e+01  4.850e+00
0.2875  1.609e+02  1.295e+01  4.596e+00
0.3125  1.392e+02  1.170e+01  4.352e+00
0.3375  1.211e+02  1.054e+01  4.014e+00
0.3625  1.061e+02  9.651e+00  3.854e+00
0.3875  9.234e+01  8.833e+00  3.613e+00
0.4125  8.049e+01  8.082e+00  3.392e+00
0.4375  7.129e+01  7.341e+00  3.196e+00
0.4625  6.279e+01  6.606e+00  3.016e+00
0.4875  5.595e+01  6.035e+00  2.773e+00
0.5125  4.948e+01  5.473e+00  2.635e+00
0.5375  4.370e+01  4.974e+00  2.446e+00
0.5625  3.864e+01  4.548e+00  2.323e+00
0.5875  3.436e+01  4.130e+00  2.195e+00
0.6125  3.086e+01  3.780e+00  1.976e+00
0.6375  2.745e+01  3.464e+00  1.821e+00
0.6625  2.460e+01  3.096e+00  1.747e+00
0.6875  2.218e+01  2.880e+00  1.637e+00
0.7125  1.978e+01  2.608e+00  1.520e+00
0.7375  1.773e+01  2.438e+00  1.426e+00
0.7625  1.575e+01  2.185e+00  1.320e+00
0.7875  1.450e+01  1.968e+00  1.190e+00
0.8125  1.313e+01  1.841e+00  1.141e+00
0.8375  1.170e+01  1.675e+00  1.061e+00
0.8625  1.057e+01  1.519e+00  9.769e-01
0.8875  9.573e+00  1.404e+00  8.970e-01
0.9125  8.558e+00  1.306e+00  8.510e-01
0.9375  7.629e+00  1.210e+00  7.939e-01
0.9625  7.083e+00  1.088e+00  7.511e-01
0.9875  6.375e+00  1.014e+00  7.085e-01
1.0125  5.894e+00  9.149e-01  6.355e-01
1.0375  5.309e+00  8.466e-01  5.776e-01
1.0625  4.883e+00  7.665e-01  5.611e-01
1.0875  4.422e+00  7.296e-01  5.149e-01
1.1125  4.013e+00  6.416e-01  4.905e-01
1.1375  3.674e+00  5.973e-01  4.368e-01
1.1625  3.240e+00  5.483e-01  4.010e-01
1.1875  3.026e+00  5.174e-01  3.758e-01
1.2125  2.732e+00  4.760e-01  3.387e-01
1.2375  2.575e+00  4.201e-01  3.316e-01
1.2625  2.297e+00  3.836e-01  3.047e-01
1.2875  2.081e+00  3.624e-01  2.841e-01
1.3125  1.930e+00  3.233e-01  2.489e-01
1.3375  1.780e+00  3.062e-01  2.417e-01
1.3625  1.606e+00  2.812e-01  2.262e-01
1.3875  1.511e+00  2.676e-01  2.162e-01
1.4125  1.393e+00  2.474e-01  1.986e-01
1.4375  1.258e+00  2.195e-01  1.836e-01
1.4625  1.179e+00  2.202e-01  1.675e-01
1.4875  1.034e+00  1.850e-01  1.590e-01
1.5125  9.642e-01  1.700e-01  1.474e-01
1.5375  9.001e-01  1.716e-01  1.284e-01
1.5625  8.494e-01  1.527e-01  1.260e-01
1.5875  7.708e-01  1.371e-01  1.120e-01
1.6125  7.045e-01  1.289e-01  1.102e-01
1.6375  6.866e-01  1.167e-01  1.028e-01
1.6625  5.868e-01  1.223e-01  9.261e-02
1.6875  5.254e-01  1.080e-01  7.779e-02
1.7125  4.858e-01  8.896e-02  7.885e-02
1.7375  4.771e-01  8.987e-02  7.494e-02
1.7625  4.135e-01  7.664e-02  7.346e-02
1.7875  4.023e-01  7.673e-02  6.423e-02
1.8125  3.381e-01  7.130e-02  5.728e-02
1.8375  3.410e-01  6.622e-02  5.179e-02
1.8625  3.074e-01  6.214e-02  5.038e-02
1.8875  2.781e-01  5.257e-02  4.806e-02
1.9125  2.509e-01  5.467e-02  4.485e-02
1.9375  2.609e-01  5.346e-02  4.372e-02
1.9625  2.292e-01  4.751e-02  3.749e-02
1.9875  2.142e-01  4.554e-02  3.717e-02
