! ptbar_pion= 0.4629  ptbar_kaon= 0.7615  ptbar_proton= 1.1093
!   mt      pions       kaons      protons
0.0125  9.632e+02  2.808e+01  6.363e+00
0.0375  7.827e+02  2.676e+01  6.102e+00
0.0625  6.458e+02  2.504e+01  5.946e+00
0.0875  5.386e+02  2.339e+01  5.846e+00
0.1125  4.552e+02  2.164e+01  5.621e+00
0.1375  3.852e+02  2.032e+01  5.328e+00
0.1625  3.290e+02  1.886e+01  5.183e+00
0.1875  2.821e+02  1.755e+01  4.992e+00
0.2125  2.444e+02  1.624e+01  4.829e+00
0.2375  2.115e+02  1.518e+01  4.652e+00
0.2625  1.844e+02  1.388e+01  4.388e+00
0.2875  1.606e+02  1.285e+01  4.320e+00
0.3125  1.395e+02  1.172e+01  4.031e+00
0.3375  1.238e+02  1.084e+01  3.817e+00
0.3625  1.090e+02  9.957e+00  3.702e+00
0.3875  9.678e+01  9.135e+00  3.567e+00
0.4125  8.494e+01  8.507e+00  3.357e+00
0.4375  7.572e+01  7.790e+00  3.270e+00
0.4625  6.725e+01  7.240e+00  3.017e+00
0.4875  5.997e+01  6.543e+00  2.899e+00
0.5125  5.343e+01  6.049e+00  2.679e+00
0.5375  4.761e+01  5.589e+00  2.547e+00
0.5625  4.272e+01  5.140e+00  2.453e+00
0.5875  3.881e+01  4.832e+00  2.317e+00
0.6125  3.444e+01  4.390e+00  2.165e+00
0.6375  3.136e+01  4.022e+00  2.103e+00
0.6625  2.815e+01  3.703e+00  1.932e+00
0.6875  2.538e+01  3.384e+00  1.826e+00
0.7125  2.270e+01  3.127e+00  1.718e+00
0.7375  2.069e+01  2.933e+00  1.615e+00
0.7625  1.897e+01  2.687e+00  1.539e+00
0.7875  1.694e+01  2.504e+00  1.459e+00
0.8125  1.543e+01  2.278e+00  1.354e+00
0.8375  1.421e+01  2.137e+00  1.275e+00
0.8625  1.277e+01  1.942e+00  1.188e+00
0.8875  1.155e+01  1.783e+00  1.150e+00
0.9125  1.074e+01  1.657e+00  1.024e+00
0.9375  9.630e+00  1.539e+00  9.955e-01
0.9625  8.837e+00  1.441e+00  9.542e-01
0.9875  7.948e+00  1.309e+00  8.813e-01
1.0125  7.388e+00  1.226e+00  8.379e-01
1.0375  6.740e+00  1.132e+00  7.561e-01
1.0625  6.273e+00  1.043e+00  7.499e-01
1.0875  5.594e+00  9.470e-01  6.976e-01
1.1125  5.220e+00  9.035e-01  6.146e-01
1.1375  4.868e+00  8.435e-01  5.914e-01
1.1625  4.411e+00  7.722e-01  5.684e-01
1.1875  4.115e+00  7.294e-01  5.241e-01
1.2125  3.687e+00  6.600e-01  4.946e-01
1.2375  3.427e+00  6.177e-01  4.596e-01
1.2625  3.051e+00  5.730e-01  4.431e-01
1.2875  2.899e+00  5.214e-01  3.976e-01
1.3125  2.645e+00  5.004e-01  3.705e-01
1.3375  2.502e+00  4.553e-01  3.501e-01
1.3625  2.254e+00  4.469e-01  3.265e-01
1.3875  2.110e+00  3.981e-01  3.020e-01
1.4125  1.909e+00  3.590e-01  2.952e-01
1.4375  1.768e+00  3.571e-01  2.689e-01
1.4625  1.649e+00  3.243e-01  2.574e-01
1.4875  1.492e+00  2.937e-01  2.393e-01
1.5125  1.391e+00  2.771e-01  2.236e-01
1.5375  1.289e+00  2.588e-01  2.106e-01
1.5625  1.212e+00  2.371e-01  2.039e-01
1.5875  1.130e+00  2.233e-01  1.857e-01
1.6125  1.031e+00  2.005e-01  1.747e-01
1.6375  9.736e-01  1.981e-01  1.543e-01
1.6625  9.177e-01  1.756e-01  1.526e-01
1.6875  8.366e-01  1.744e-01  1.485e-01
1.7125  7.585e-01  1.464e-01  1.303e-01
1.7375  7.092e-01  1.443e-01  1.283e-01
1.7625  6.783e-01  1.385e-01  1.094e-01
1.7875  6.104e-01  1.244e-01  1.181e-01
1.8125  5.939e-01  1.224e-01  1.072e-01
1.8375  5.656e-01  1.142e-01  1.023e-01
1.8625  4.794e-01  1.031e-01  9.584e-02
1.8875  4.453e-01  9.156e-02  8.843e-02
1.9125  4.426e-01  9.634e-02  8.300e-02
1.9375  4.185e-01  7.767e-02  7.287e-02
1.9625  3.671e-01  7.645e-02  7.297e-02
1.9875  3.206e-01  7.739e-02  6.564e-02
