! ptbar_pion= 0.4094  ptbar_kaon= 0.6960  ptbar_proton= 0.9969
!   mt      pions       kaons      protons
0.0125  1.156e+03  2.768e+01  8.665e+00
0.0375  9.217e+02  2.607e+01  8.570e+00
0.0625  7.452e+02  2.407e+01  8.270e+00
0.0875  6.085e+02  2.269e+01  7.955e+00
0.1125  5.052e+02  2.113e+01  7.630e+00
0.1375  4.188e+02  1.949e+01  7.225e+00
0.1625  3.511e+02  1.795e+01  7.030e+00
0.1875  2.965e+02  1.670e+01  6.726e+00
0.2125  2.523e+02  1.529e+01  6.299e+00
0.2375  2.157e+02  1.396e+01  6.092e+00
0.2625  1.846e+02  1.280e+01  5.788e+00
0.2875  1.582e+02  1.182e+01  5.440e+00
0.3125  1.369e+02  1.043e+01  5.186e+00
0.3375  1.188e+02  9.744e+00  4.926e+00
0.3625  1.043e+02  8.895e+00  4.594e+00
0.3875  9.058e+01  8.094e+00  4.400e+00
0.4125  7.908e+01  7.330e+00  4.093e+00
0.4375  6.998e+01  6.807e+00  3.891e+00
0.4625  6.100e+01  6.099e+00  3.561e+00
0.4875  5.450e+01  5.628e+00  3.447e+00
0.5125  4.788e+01  5.133e+00  3.109e+00
0.5375  4.236e+01  4.698e+00  2.975e+00
0.5625  3.781e+01  4.214e+00  2.777e+00
0.5875  3.363e+01  3.887e+00  2.590e+00
0.6125  3.013e+01  3.622e+00  2.445e+00
0.6375  2.700e+01  3.194e+00  2.269e+00
0.6625  2.369e+01  2.926e+00  2.128e+00
0.6875  2.127e+01  2.697e+00  2.013e+00
0.7125  1.916e+01  2.469e+00  1.816e+00
0.7375  1.716e+01  2.249e+00  1.710e+00
0.7625  1.553e+01  2.023e+00  1.605e+00
0.7875  1.402e+01  1.872e+00  1.485e+00
0.8125  1.254e+01  1.736e+00  1.391e+00
0.8375  1.148e+01  1.579e+00  1.248e+00
0.8625  1.013e+01  1.437e+00  1.202e+00
0.8875  9.219e+00  1.326e+00  1.102e+00
0.9125  8.348e+00  1.196e+00  1.042e+00
0.9375  7.535e+00  1.135e+00  9.765e-01
0.9625  6.836e+00  1.028e+00  9.140e-01
0.9875  6.160e+00  9.368e-01  8.341e-01
1.0125  5.615e+00  8.554e-01  7.808e-01
1.0375  5.054e+00  7.888e-01  7.279e-01
1.0625  4.606e+00  7.026e-01  6.568e-01
1.0875  4.227e+00  6.630e-01  6.293e-01
1.1125  3.865e+00  6.150e-01  5.599e-01
1.1375  3.560e+00  5.503e-01  5.352e-01
1.1625  3.156e+00  5.139e-01  4.968e-01
1.1875  2.883e+00  4.532e-01  4.680e-01
1.2125  2.702e+00  4.270e-01  4.019e-01
1.2375  2.378e+00  3.832e-01  3.929e-01
1.2625  2.238e+00  3.611e-01  3.574e-01
1.2875  2.057e+00  3.292e-01  3.193e-01
1.3125  1.861e+00  3.065e-01  3.073e-01
1.3375  1.676e+00  2.789e-01  2.971e-01
1.3625  1.558e+00  2.580e-01  2.722e-01
1.3875  1.428e+00  2.523e-01  2.483e-01
1.4125  1.314e+00  2.348e-01  2.270e-01
1.4375  1.213e+00  1.944e-01  2.027e-01
1.4625  1.112e+00  1.775e-01  1.931e-01
1.4875  9.848e-01  1.919e-01  1.729e-01
1.5125  8.719e-01  1.639e-01  1.686e-01
1.5375  8.188e-01  1.634e-01  1.523e-01
1.5625  7.910e-01  1.295e-01  1.321e-01
1.5875  7.095e-01  1.289e-01  1.352e-01
1.6125  6.756e-01  1.146e-01  1.252e-01
