# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.134115 -----------------
#dely    BF
0.050  0.3042  0.0061
0.150  0.2777  0.0059
0.250  0.2206  0.0049
0.350  0.1850  0.0045
0.450  0.1288  0.0035
0.550  0.0850  0.0026
0.650  0.0608  0.0021
0.750  0.0382  0.0015
0.850  0.0221  0.0010
0.950  0.0099  0.0006
1.050  0.0049  0.0003
1.150  0.0016  0.0002
1.250  0.0019  0.0003
1.350 -0.0000 -0.0000
1.450  0.0002  0.0001
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
