# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0113948 -----------------
#dely    BF    dB     BFVar
0.050  0.0092  0.0000  0.0020
0.150  0.0076  0.0000  0.0033
0.250  0.0049  0.0000  0.0036
0.350  0.0036  0.0000  0.0075
0.450  0.0000  0.0000  0.0037
0.550 -0.0010 -0.0000  0.0019
0.650 -0.0061 -0.0000  0.0014
0.750 -0.0105 -0.0000  0.0020
0.850 -0.0139 -0.0000  0.0016
0.950 -0.0171 -0.0000  0.0015
1.050 -0.0189 -0.0000  0.0009
1.150 -0.0185 -0.0000  0.0008
1.250 -0.0181 -0.0000  0.0015
1.350 -0.0143 -0.0000  0.0006
1.450 -0.0109 -0.0000  0.0010
1.550 -0.0068 -0.0000  0.0005
1.650 -0.0029 -0.0000  0.0002
1.750 -0.0003 -0.0000  0.0000
