# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0142117 -----------------
#dely    BF    dB     BFVar
0.050  0.0128  0.0000  0.0034
0.150  0.0084  0.0000  0.0036
0.250  0.0057  0.0000  0.0023
0.350  0.0021  0.0000  0.0020
0.450 -0.0009 -0.0000  0.0074
0.550 -0.0048 -0.0000  0.0018
0.650 -0.0097 -0.0000  0.0014
0.750 -0.0125 -0.0000  0.0024
0.850 -0.0155 -0.0000  0.0019
0.950 -0.0175 -0.0000  0.0017
1.050 -0.0200 -0.0000  0.0007
1.150 -0.0199 -0.0000  0.0018
1.250 -0.0196 -0.0000  0.0019
1.350 -0.0174 -0.0000  0.0008
1.450 -0.0142 -0.0000  0.0011
1.550 -0.0104 -0.0000  0.0005
1.650 -0.0065 -0.0000  0.0009
1.750 -0.0022 -0.0000  0.0001
