'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.546568,-0.460004,0.988084,1.28461
0.663385,-0.405851,1.0126,1.49464
0.628223,-0.545511,0.887145,1.43336
0.628223,-0.545511,0.887145,1.43336
0.606028,-0.447639,1.03338,1.46425
0.606028,-0.447639,1.03338,1.46425
0.606028,-0.447639,1.03338,1.46425
0.606028,-0.447639,1.03338,1.46425
0.575083,-0.425391,0.943241,1.49838
0.640625,-0.505596,0.799232,1.44076
0.640625,-0.505596,0.799232,1.44076
0.640625,-0.505596,0.799232,1.44076
0.640625,-0.505596,0.799232,1.44076
0.640625,-0.505596,0.799232,1.44076
0.713474,-0.567549,1.00498,1.43713
0.713474,-0.567549,1.00498,1.43713
0.634926,-0.468048,1.07216,1.34197
0.666374,-0.352316,1.07538,1.46917
0.666374,-0.352316,1.07538,1.46917
0.611779,-0.302593,1.21145,1.43184
0.611779,-0.302593,1.21145,1.43184
0.711405,-0.269638,1.2559,1.43784
0.711405,-0.269638,1.2559,1.43784
0.711405,-0.269638,1.2559,1.43784
0.703546,-0.37456,1.42205,1.35233
0.673199,-0.424567,1.49077,1.32079
0.676292,-0.406942,1.40326,1.31749
0.633904,-0.319077,1.32032,1.31694
0.62657,-0.37041,1.18216,1.28002
0.62657,-0.37041,1.18216,1.28002
0.62657,-0.37041,1.18216,1.28002
0.647251,-0.250706,1.26869,1.33731
0.647251,-0.250706,1.26869,1.33731
0.647251,-0.250706,1.26869,1.33731
0.647251,-0.250706,1.26869,1.33731
0.535708,-0.34957,1.10243,1.35482
0.535708,-0.34957,1.10243,1.35482
0.535708,-0.34957,1.10243,1.35482
0.59754,-0.398306,1.13393,1.34022
0.59754,-0.398306,1.13393,1.34022
0.693018,-0.407898,1.25159,1.32459
0.693018,-0.407898,1.25159,1.32459
0.693018,-0.407898,1.25159,1.32459
0.619883,-0.315115,1.26625,1.35807
0.619883,-0.315115,1.26625,1.35807
0.701356,-0.168695,1.30543,1.41456
0.730168,-0.152348,1.49981,1.28869
0.750382,-0.248492,1.51558,1.45353
0.750881,-0.248243,1.60661,1.32226
0.856474,-0.204995,1.65155,1.29888
0.772774,-0.104786,1.56296,1.32401
0.633642,-0.0855461,1.47075,1.37016
0.607637,-0.0071341,1.52037,1.28993
0.662728,0.0442472,1.57271,1.29923
0.662728,0.0442472,1.57271,1.29923
0.797807,0.026759,1.52689,1.28702
0.686296,0.0599253,1.51418,1.27406
0.686296,0.0599253,1.51418,1.27406
0.546846,-0.031279,1.57585,1.29945
0.546846,-0.031279,1.57585,1.29945
0.534462,0.119336,1.66291,1.14968
0.534462,0.119336,1.66291,1.14968
0.534462,0.119336,1.66291,1.14968
0.503674,0.0875452,1.63004,1.26517
0.503674,0.0875452,1.63004,1.26517
0.481046,-0.0447808,1.57364,1.16737
0.450752,-0.107966,1.46661,1.24618
0.511058,-0.0586937,1.4579,1.16833
0.511058,-0.0586937,1.4579,1.16833
0.511058,-0.0586937,1.4579,1.16833
0.564002,-0.0538523,1.55136,1.18443
0.564002,-0.0538523,1.55136,1.18443
0.509368,-0.172544,1.68467,1.3634
0.509368,-0.172544,1.68467,1.3634
0.460559,-0.173565,1.61596,1.39513
0.496856,-0.126214,1.56125,1.45532
0.496856,-0.126214,1.56125,1.45532
0.496856,-0.126214,1.56125,1.45532
0.507444,-0.109896,1.48344,1.34033
0.507444,-0.109896,1.48344,1.34033
0.549764,-0.0532906,1.51414,1.45774
0.549764,-0.0532906,1.51414,1.45774
0.651917,-0.130779,1.57861,1.47
0.70456,-0.0630775,1.62169,1.6264
0.696432,0.0290697,1.58969,1.6409
0.667304,-0.056359,1.5982,1.6244
0.553718,0.00619113,1.5264,1.56177
0.553718,0.00619113,1.5264,1.56177
0.704151,-0.0202741,1.49818,1.51973
0.603019,-0.0465969,1.57928,1.58498
0.694214,-0.0762672,1.51097,1.5591
0.735266,-0.126965,1.58403,1.6311
0.569584,-0.00844842,1.45187,1.50331
0.569584,-0.00844842,1.45187,1.50331
0.55294,-0.00423635,1.30547,1.57743
0.544059,0.0139834,1.19052,1.5132
0.575573,-0.00565462,1.30767,1.53125
0.471093,0.0279027,1.3388,1.57661
0.538491,0.0848595,1.30992,1.62766
0.393714,0.0967643,1.36729,1.5645
0.358968,0.128551,1.22152,1.55564
0.355707,0.157523,1.24982,1.48158
0.203581,0.071665,1.20678,1.43553
0.0770164,0.184772,1.25039,1.36849
0.0770164,0.184772,1.25039,1.36849
0.0770164,0.184772,1.25039,1.36849
0.0943041,0.158184,1.23662,1.44603
0.0325576,0.232053,1.32716,1.3031
0.095149,0.130975,1.3526,1.25242
0.0696123,0.12285,1.47155,1.45111
0.109953,0.215338,1.45519,1.41564
0.157715,0.299976,1.4333,1.39081
0.205371,0.340597,1.38049,1.40118
0.246987,0.441387,1.38566,1.30468
0.246987,0.441387,1.38566,1.30468
0.217846,0.409996,1.25122,1.33156
0.248819,0.409108,1.32414,1.28283
0.248819,0.409108,1.32414,1.28283
0.28272,0.238687,1.35056,1.3178
0.247639,0.150827,1.42081,1.28205
0.298548,0.0800481,1.3515,1.32506
0.344443,0.0323607,1.39741,1.33264
0.307131,0.0724747,1.45505,1.30754
0.307131,0.0724747,1.45505,1.30754
0.307131,0.0724747,1.45505,1.30754
0.259707,0.0794454,1.52657,1.37338
0.229195,0.200204,1.41111,1.29884
0.315245,0.322535,1.48398,1.16081
0.315245,0.322535,1.48398,1.16081
0.315245,0.322535,1.48398,1.16081
0.368017,0.237405,1.56276,1.30865
0.368017,0.237405,1.56276,1.30865
0.368017,0.237405,1.56276,1.30865
0.368017,0.237405,1.56276,1.30865
0.26156,0.223213,1.55423,1.32907
0.296277,0.265178,1.57187,1.36518
0.296277,0.265178,1.57187,1.36518
0.319988,0.155128,1.45386,1.14374
0.319988,0.155128,1.45386,1.14374
0.319988,0.155128,1.45386,1.14374
0.319988,0.155128,1.45386,1.14374
0.366112,0.199723,1.43119,1.35389
0.366112,0.199723,1.43119,1.35389
0.366112,0.199723,1.43119,1.35389
0.366112,0.199723,1.43119,1.35389
0.276708,0.20948,1.6024,1.24383
0.252496,0.227235,1.48516,1.3764
0.135832,0.223614,1.57692,1.38108
0.13334,0.174153,1.5151,1.30017
0.215798,0.202084,1.4344,1.27966
0.30037,0.121219,1.27084,1.33096
