# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.167873 -----------------
#dely    BF    dB     BFVar
0.050  0.1812  0.0001  0.0023
0.150  0.1713  0.0001  0.0016
0.250  0.1621  0.0001  0.0025
0.350  0.1549  0.0001  0.0016
0.450  0.1472  0.0001  0.0030
0.550  0.1383  0.0001  0.0025
0.650  0.1278  0.0001  0.0023
0.750  0.1167  0.0001  0.0018
0.850  0.1045  0.0001  0.0012
0.950  0.0909  0.0001  0.0013
1.050  0.0766  0.0001  0.0014
1.150  0.0628  0.0001  0.0019
1.250  0.0496  0.0001  0.0015
1.350  0.0380  0.0001  0.0012
1.450  0.0266  0.0000  0.0006
1.550  0.0179  0.0000  0.0012
1.650  0.0097  0.0000  0.0005
1.750  0.0028  0.0000  0.0002
