# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.121031 -----------------
#dely    BF
0.050  0.4507  0.0078
0.150  0.3176  0.0060
0.250  0.1737  0.0037
0.350  0.1266  0.0031
0.450  0.0602  0.0017
0.550  0.0309  0.0010
0.650  0.0219  0.0008
0.750  0.0086  0.0004
0.850  0.0081  0.0005
0.950  0.0032  0.0002
1.050  0.0047  0.0004
1.150  0.0020  0.0002
1.250  0.0014  0.0002
1.350  0.0005  0.0001
1.450 -0.0000 -0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
