# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0316698 -----------------
#dely    BF    dB     BFVar
0.050 -0.0516 -0.0007  0.0050
0.150 -0.0462 -0.0007  0.0059
0.250 -0.0464 -0.0007  0.0030
0.350 -0.0405 -0.0006  0.0049
0.450 -0.0350 -0.0006  0.0033
0.550 -0.0300 -0.0005  0.0026
0.650 -0.0217 -0.0004  0.0025
0.750 -0.0172 -0.0004  0.0030
0.850 -0.0121 -0.0003  0.0025
0.950 -0.0072 -0.0002  0.0012
1.050 -0.0049 -0.0002  0.0019
1.150 -0.0024 -0.0001  0.0005
1.250 -0.0014 -0.0001  0.0006
1.350  0.0000  0.0000  0.0008
1.450 -0.0000 -0.0000  0.0001
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
